Company,Country,Liquidity,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30
BELTONE HOLDING EGYPT (EGYPT),EGYPT,57890606.09520407,144325610.76366666,,,19.0
ABU QIR FERTILIZERS EGYPT (EGYPT),EGYPT,49429619.395663895,123231738.10553327,,,19.0
UNILEVER NIGERIA (NIGERIA),NIGERIA,47937925.08959259,119512832.63333334,,,19.0
CUSTODIAN INVESTMENT NIGERIA (NIGERIA),NIGERIA,44056932.52834444,109837227.91,,,19.0
PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),EGYPT,43384512.73349963,108160835.06966667,,,19.0
SPAR (SOUTH AFRICA),SOUTH AFRICA,40838765.98445925,75939854.10333332,,,22.0
INTERNATIONAL BREWERIES NIGERIA (NIGERIA),NIGERIA,35777608.345492125,89196253.49291666,,,19.0
AVI (SOUTH AFRICA),SOUTH AFRICA,35419920.60411852,65863488.726666674,,,22.0
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),EGYPT,34683006.654544055,86467329.60966663,,,19.0
LIFE HEALTHCARE (SOUTH AFRICA),SOUTH AFRICA,33912388.56296296,63060226.666666664,,,22.0
JULIUS BERGER NIGERIA (NIGERIA),NIGERIA,32319314.43346293,80574468.11666659,,,19.0
EASTERN TOBACCO EGYPT (EGYPT),EGYPT,32157237.749873765,80170398.82239997,,,19.0
JAIZ BANK NIGERIA (NIGERIA),NIGERIA,31797680.698601663,79273996.2015,,,19.0
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),EGYPT,31432912.785235185,78364602.51166667,,,19.0
ATTIJARIWAFA BANK MOROCCO (MOROCCO),MOROCCO,31038425.274074063,69836456.86666664,,,20.0
CADBURY NIGERIA (NIGERIA),NIGERIA,29747488.686485358,74162714.1768333,,,19.0
HONEYWELL FLOUR MILLS NIGERIA (NIGERIA),NIGERIA,29175458.876294024,72736601.0766333,,,19.0
EGYPT ALUMINIUM (EGYPT),EGYPT,28736090.195081107,71641222.093,,,19.0
TELECOM EGYPT (EGYPT),EGYPT,28317419.278248888,70597444.184,,,19.0
BANK OF KIGALI RWANDA (RWANDA),RWANDA,26614263.75999998,54314823.99999996,,,21.0
RAYA HOLDING EGYPT (EGYPT),EGYPT,25291289.451737095,63053076.195466444,,,19.0
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),EGYPT,24562211.328052994,61235429.90373323,,,19.0
EAST AFRICAN BREWERIES KENYA (KENYA),KENYA,22375555.13025,45664398.225,,,21.0
DIS-CHEM PHARMACIES (SOUTH AFRICA),SOUTH AFRICA,22145124.57715555,41178950.66,,,22.0
GB AUTO EGYPT (EGYPT),EGYPT,21353146.546674,53234991.390599996,,,19.0
ABU DHABI ISLAMIC BANK EGYPT (EGYPT),EGYPT,19799003.31121056,49360396.06672993,,,19.0
QUILTER (SOUTH AFRICA),SOUTH AFRICA,19140064.029125925,35591028.153333336,,,22.0
ETERNA PLC NIGERIA (NIGERIA),NIGERIA,18406926.17316111,45889843.645,,,19.0
SANTAM (SOUTH AFRICA),SOUTH AFRICA,17527096.63385185,32591708.616666667,,,22.0
AIICO INSURANCE NIGERIA (NIGERIA),NIGERIA,17480069.655810595,43579121.02556658,,,19.0
BANK OF AFRICA SENEGAL (SENEGAL),SENEGAL,15465367.240740739,34797076.291666664,,,20.0
AXA MANSARD NIGERIA (NIGERIA),NIGERIA,15279493.038119547,38092918.93159998,,,19.0
WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),SOUTH AFRICA,15272816.73667851,28399865.832666658,,,22.0
CUTIX PLC NIGERIA (NIGERIA),NIGERIA,15077750.208542962,37589958.968666665,,,19.0
EMAAR MISR EGYPT (EGYPT),EGYPT,14990666.05941296,37372851.67166666,,,19.0
MARSA MAROC MOROCCO (MOROCCO),MOROCCO,14747393.494814813,33181635.363333333,,,20.0
CO-OPERATIVE BANK KENYA (KENYA),KENYA,14474622.131666666,29540045.166666668,,,21.0
MAROC TELECOM MOROCCO (MOROCCO),MOROCCO,13749212.204592591,30935727.460333332,,,20.0
RAUBEX (SOUTH AFRICA),SOUTH AFRICA,12811401.166438496,23822853.40866663,,,22.0
INNSCOR AFRICA (ZIMBABWE),ZIMBABWE,12646481.914256664,31528625.270999994,,,19.0
ORAGROUP TOGO (TOGO),TOGO,12098691.274074081,27222055.366666686,,,20.0
PSG KONSULT (SOUTH AFRICA),SOUTH AFRICA,12045355.557839988,22398388.43399998,,,22.0
NINETY ONE (SOUTH AFRICA),SOUTH AFRICA,11508959.992281482,21400958.663333338,,,22.0
BANK OF AFRICA NIGER (NIGER),NIGER,11467021.925925925,25800799.333333332,,,20.0
CAP PLC NIGERIA (NIGERIA),NIGERIA,11392383.821654812,28402064.92933333,,,19.0
NCBA GROUP KENYA (KENYA),KENYA,10537996.758333331,21506115.833333332,,,21.0
STANBIC HOLDINGS KENYA (KENYA),KENYA,10300788.542333333,21022017.433333334,,,21.0
MCB GROUP LTD MAURITIUS (MAURITIUS),MAURITIUS,10297114.51111111,23168507.65,,,20.0
KENYA ELECTRICITY GENERATING CO (KENYA),KENYA,9781640.532999996,19962531.699999996,,,21.0
ABSA BANK KENYA (KENYA),KENYA,9682618.89933333,19760446.73333333,,,21.0
CORONATION (NAMIBIA),NAMIBIA,9279612.416148147,17255477.633333333,,,22.0
STANDARD CHARTERED BANK KENYA (KENYA),KENYA,8482286.070999999,17310787.9,,,21.0
DIAMOND TRUST BANK KENYA (KENYA),KENYA,8482039.911333334,17310285.533333335,,,21.0
KENYA POWER (KENYA),KENYA,7887000.794283332,16095919.988333333,,,21.0
BRITISH AMERICAN TOBACCO KENYA (KENYA),KENYA,7445429.937749999,15194754.975,,,21.0
UPDC PLC NIGERIA (NIGERIA),NIGERIA,7344105.267905554,18309403.714999996,,,19.0
LAFARGEHOLCIM MAROC MOROCCO (MOROCCO),MOROCCO,7060327.748148148,15885737.433333334,,,20.0
MANAGEM MOROCCO (MOROCCO),MOROCCO,6986479.961481467,15719579.913333302,,,20.0
BANK OF AFRICA MOROCCO (MOROCCO),MOROCCO,6876873.3896296285,15472965.126666665,,,20.0
CORONATION INSURANCE NIGERIA (NIGERIA),NIGERIA,6605879.611208107,16468951.939299991,,,19.0
TOTALENERGIES MARKETING SENEGAL (SENEGAL),SENEGAL,6214657.333333333,13982979.0,,,20.0
BERGER PAINTS NIGERIA (NIGERIA),NIGERIA,5869306.32387111,14632619.643999998,,,19.0
I&M GROUP KENYA (KENYA),KENYA,5815392.895666665,11868148.766666666,,,21.0
TRANSCORP HOTELS NIGERIA (NIGERIA),NIGERIA,5763324.41424074,14368398.816666666,,,19.0
BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),MOROCCO,5593481.164444444,12585332.62,,,20.0
TOTALENERGIES MARKETING NIGERIA (NIGERIA),NIGERIA,4926388.906666666,12281856.0,,,19.0
MTN GHANA (GHANA),GHANA,4660083.809039989,12944677.247333301,,,18.0
TAQA MOROCCO (MOROCCO),MOROCCO,4210527.244444445,9473686.3,,,20.0
CIMENTS DU MAROC MOROCCO (MOROCCO),MOROCCO,4208751.659259259,9469691.233333332,,,20.0
BRALIRWA RWANDA (RWANDA),RWANDA,4026248.3333333326,8216833.333333333,,,21.0
COSUMAR MOROCCO (MOROCCO),MOROCCO,3891989.439259259,8756976.238333333,,,20.0
AIRTEL AFRICA NIGERIA (NIGERIA),NIGERIA,3883908.415740741,9682874.166666668,,,19.0
GEREGU POWER NIGERIA (NIGERIA),NIGERIA,3675293.8493888886,9162782.45,,,19.0
MTN RWANDACELL (RWANDA),RWANDA,3594713.4999999995,7336150.0,,,21.0
SIMBISA BRANDS (ZIMBABWE),ZIMBABWE,2669645.226063703,6655625.217333333,,,19.0
PADENGA HOLDINGS (ZIMBABWE),ZIMBABWE,2366316.368855185,5899403.689666666,,,19.0
CIH BANK (MOROCCO),MOROCCO,2356769.68,5302731.780000001,,,20.0
HIPPO VALLEY ESTATES (ZIMBABWE),ZIMBABWE,2182494.0963001186,5441121.015706667,,,19.0
KENYA AIRWAYS (KENYA),KENYA,1731308.3269999996,3533282.3,,,21.0
TIGERE PROPERTY FUND (ZIMBABWE),ZIMBABWE,1725443.1485114035,4301658.819003499,,,19.0
BRITAM HOLDINGS KENYA (KENYA),KENYA,1304369.4641833333,2661978.4983333335,,,21.0
JUBILEE HOLDINGS KENYA (KENYA),KENYA,1230543.8314166665,2511313.941666667,,,21.0
CIC INSURANCE GROUP KENYA (KENYA),KENYA,1119535.0133333327,2284765.3333333326,,,21.0
SBM HOLDINGS MAURITIUS (MAURITIUS),MAURITIUS,1071225.9362962963,2410258.356666667,,,20.0
CRDB BANK PLC TANZANIA (TANZANIA),TANZANIA,843773.1212696296,1568999.6056666668,,,22.0
ATLANTASANAD MOROCCO (MOROCCO),MOROCCO,814167.5007407406,1831876.8766666665,,,20.0
ASCENCIA MAURITIUS (MAURITIUS),MAURITIUS,680623.4497777777,1531402.7619999999,,,20.0
TANZANIA BREWERIES LTD (TANZANIA),TANZANIA,652960.9173511108,1214183.5239999997,,,22.0
TOTALENERGIES MARKETING KENYA (KENYA),KENYA,626985.6135666665,1279562.4766666666,,,21.0
NEW MAURITIUS HOTELS (MAURITIUS),MAURITIUS,612837.4518518517,1378884.2666666664,,,20.0
GCB BANK PLC GHANA (GHANA),GHANA,578840.5932719946,1607890.5368666518,,,18.0
I&M BANK RWANDA (RWANDA),RWANDA,527844.3333333333,1077233.3333333333,,,21.0
AMEN BANK TUNISIA (TUNISIA),TUNISIA,453157.41554814816,1019604.1849833335,,,20.0
POULINA GROUP HOLDING TUNISIA (TUNISIA),TUNISIA,332591.8610370369,748331.6873333332,,,20.0
LUX ISLAND RESTORTS MAURITIUS (MAURITIUS),MAURITIUS,332157.837037037,747355.1333333333,,,20.0
NMB BANK TANZANIA (TANZANIA),TANZANIA,295894.12286296295,550216.3441666667,,,22.0
TANZANIA CIGARETTE COMPANY (TANZANIA),TANZANIA,277908.58704888885,516772.166,,,22.0
BANQUE NATIONALE AGRICOLE TUNISIA (TUNISIA),TUNISIA,269133.902074074,605551.2796666666,,,20.0
IRELAND BLYTH MAURITIUS (MAURITIUS),MAURITIUS,250438.68518518517,563487.0416666666,,,20.0
ATTIJARI BANK TUNISIA (TUNISIA),TUNISIA,240870.70503703706,541959.0863333334,,,20.0
CEIL MAURITIUS (MAURITIUS),MAURITIUS,237353.2800000002,534044.8800000005,,,20.0
SOCIÉTÉ FRIGORIFIQUE ET BRASSERIE DE TUNIS TUNISIA (TUNISIA),TUNISIA,226701.5959999996,510078.59099999914,,,20.0
TN CYBERTECH INVESTMENTS HOLDINGS (ZIMBABWE),ZIMBABWE,180617.40394134392,450292.69680667465,,,19.0
ONE TECH HOLDING TUNISIA (TUNISIA),TUNISIA,175885.35733333335,395742.05400000006,,,20.0
BIAT TUNISIA (TUNISIA),TUNISIA,175787.47748148147,395521.82433333335,,,20.0
EAST DELTA FLOUR MILLS EGYPT (EGYPT),EGYPT,168356.7509911111,419725.972,,,19.0
BANQUE DE TUNISIE TUNISIA (TUNISIA),TUNISIA,167049.7999703703,375862.04993333324,,,20.0
FIRST CAPITAL BANK (ZIMBABWE),ZIMBABWE,161235.25946777774,401971.5609999999,,,19.0
CALBANK PLC GHANA (GHANA),GHANA,160512.46788,445867.9663333334,,,18.0
CIM FINANCIAL SERVICES MAURITIUS (MAURITIUS),MAURITIUS,155089.95555555556,348952.4,,,20.0
DÉLICE HOLDING TUNISIA (TUNISIA),TUNISIA,151816.47333333336,341587.06500000006,,,20.0
MTN UGANDA (UGANDA),UGANDA,150631.44855637196,418420.6904343666,,,18.0
ENL LIMITED MAURITIUS (MAURITIUS),MAURITIUS,140546.49777777778,316229.62,,,20.0
ECOBANK GHANA (GHANA),GHANA,97375.44649799998,270487.35138333327,,,18.0
SUN RESORTS LIMITED MAURITIUS (MAURITIUS),MAURITIUS,66737.87777777787,150160.22500000024,,,20.0
STANBIC BANK UGANDA (UGANDA),UGANDA,60694.330188960004,168595.36163600002,,,18.0
SBN HOLDINGS (NAMIBIA),NAMIBIA,55832.37333333333,223329.49333333332,,,15.0
SOCIÉTÉ GÉNÉRALE GHANA (GHANA),GHANA,52119.852,144777.36666666667,,,18.0
TANZANIA PORTLAND CEMENT (TANZANIA),TANZANIA,46860.279481481455,87136.8833333333,,,22.0
STANDARD CHARTERED BANK GHANA (GHANA),GHANA,42152.08835999997,117089.13433333326,,,18.0
TANGA CEMENT TANZANIA (TANZANIA),TANZANIA,40252.609796666664,74849.89425000001,,,22.0
TSL (ZIMBABWE),ZIMBABWE,30489.071777207406,76011.53628666667,,,19.0
NATIONAL INVESTMENT COMPANY TANZANIA (TANZANIA),TANZANIA,25289.731987259333,47026.36113333348,,,22.0
ECOBANK TRANSITIONAL INC GHANA (GHANA),GHANA,19322.23715999998,53672.88099999994,,,18.0
DAR ES SALAAM STOCK EXCHANGE PLC (TANZANIA),TANZANIA,19151.396358518512,35612.10066666666,,,22.0
DCB COMMERCIAL BANK PLC TANZANIA (TANZANIA),TANZANIA,18771.640569814816,34905.94320833334,,,22.0
SIC INSURANCE (GHANA),GHANA,18451.94892,51255.41366666667,,,18.0
ACCESS BANK GHANA (GHANA),GHANA,16773.537360000002,46593.15933333334,,,18.0
ZIMBABWE STOCK EXCHANGE HOLDINGS (ZIMBABWE),ZIMBABWE,12733.518615418518,31745.614276666667,,,19.0
NBS BANK MALAWI (MALAWI),MALAWI,10764.976894859257,24221.19801343333,,,20.0
NICO HOLDINGS MALAWI (MALAWI),MALAWI,6005.912795214815,13513.303789233334,,,20.0
FDH BANK MALAWI (MALAWI),MALAWI,5272.953416444443,11864.145186999998,,,20.0
STANDARD BANK MALAWI (MALAWI),MALAWI,5180.2448516,11655.5509161,,,20.0
