Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),OK,119496411.4796992,22.79052078983475,85,119496411.4796992,119496411.4796992,23899282.29593984,30,,,,,2017-04-30,2017-03-31,2017-04-30,SOUTH AFRICA,HIGH,119496411.4796992,1.0,True,2017-04-30
REINET INVEST (SOUTH AFRICA),OK,77498109.47067425,21.74431784286822,85,77498109.47067425,77498109.47067425,15499621.89413485,30,,,,,2017-04-30,2017-03-31,2017-04-30,SOUTH AFRICA,HIGH,77498109.47067425,2.0,True,2017-04-30
MTN GROUP (SOUTH AFRICA),OK,60805377.87412807,9.097416930143769,85,60805377.87412807,60805377.87412807,12161075.574825615,30,,,,,2017-04-30,2017-03-31,2017-04-30,SOUTH AFRICA,HIGH,60805377.87412807,3.0,True,2017-04-30
STANDARD BANK GROUP (SOUTH AFRICA),OK,56679001.26680996,10.7192924894112,85,56679001.26680996,56679001.26680996,11335800.253361993,30,,,,,2017-04-30,2017-03-31,2017-04-30,SOUTH AFRICA,HIGH,56679001.26680996,4.0,True,2017-04-30
FIRSTRAND (SOUTH AFRICA),OK,52678552.941507444,3.386923581697787,85,52678552.941507444,52678552.941507444,10535710.58830149,30,,,,,2017-04-30,2017-03-31,2017-04-30,SOUTH AFRICA,HIGH,52678552.941507444,5.0,True,2017-04-30
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,44687743.28543772,65.72809163037643,85,44687743.28543772,44687743.28543772,8937548.657087544,30,,,,,2017-04-30,2017-03-31,2017-04-30,SOUTH AFRICA,HIGH,44687743.28543772,6.0,True,2017-04-30
ANGLO AMERICAN (SOUTH AFRICA),OK,43034588.59529934,14.73781542683291,85,43034588.59529934,43034588.59529934,8606917.719059868,30,,,,,2017-04-30,2017-03-31,2017-04-30,SOUTH AFRICA,HIGH,43034588.59529934,7.0,True,2017-04-30
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,35620226.341961585,14.43655670226093,85,35620226.341961585,35620226.341961585,7124045.268392317,30,,,,,2017-04-30,2017-03-31,2017-04-30,SOUTH AFRICA,HIGH,35620226.341961585,8.0,True,2017-04-30
ABSA (SOUTH AFRICA),OK,33568759.74782028,10.40311996659309,85,33568759.74782028,33568759.74782028,6713751.9495640565,30,,,,,2017-04-30,2017-03-31,2017-04-30,SOUTH AFRICA,HIGH,33568759.74782028,9.0,True,2017-04-30
SANLAM (SOUTH AFRICA),OK,33541914.579977464,5.023712939211359,85,33541914.579977464,33541914.579977464,6708382.9159954935,30,,,,,2017-04-30,2017-03-31,2017-04-30,SOUTH AFRICA,HIGH,33541914.579977464,10.0,True,2017-04-30
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),OK,23995652.10763125,20.48559327089423,85,23995652.10763125,23995652.10763125,4799130.42152625,30,,,,,2017-04-30,2017-03-31,2017-04-30,SOUTH AFRICA,HIGH,23995652.10763125,11.0,True,2017-04-30
