Rank,Company,Country,Liquidity,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD
46.0,AFRICAN RAINBOW MINERALS (SOUTH AFRICA),SOUTH AFRICA,4393945.536134313,4393945.536134313,4393945.536134313,878789.1072268626
47.0,REDEFINE PROPERTIES (SOUTH AFRICA),SOUTH AFRICA,3835133.6231872765,3835133.6231872765,3835133.6231872765,767026.7246374553
48.0,BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),MOROCCO,3546366.8615173963,3546366.8615173963,3546366.8615173963,709273.3723034794
49.0,SPAR (SOUTH AFRICA),SOUTH AFRICA,3519175.64071834,3519175.64071834,3519175.64071834,703835.1281436681
50.0,MAROC TELECOM MOROCCO (MOROCCO),MOROCCO,3487578.7433356415,3487578.7433356415,3487578.7433356415,697515.7486671284
51.0,LIFE HEALTHCARE (SOUTH AFRICA),SOUTH AFRICA,3450052.176116201,3450052.176116201,3450052.176116201,690010.4352232403
52.0,AVI (SOUTH AFRICA),SOUTH AFRICA,3406230.697460811,3406230.697460811,3406230.697460811,681246.1394921623
53.0,THUNGELA RESOURSES (SOUTH AFRICA),SOUTH AFRICA,3228343.953016669,3228343.953016669,3228343.953016669,645668.7906033339
54.0,TALAAT MOUSTAFA GROUP EGYPT (EGYPT),EGYPT,2910160.7414423283,2910160.7414423283,2910160.7414423283,582032.1482884657
55.0,ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),EGYPT,2849539.9401912303,2849539.9401912303,2849539.9401912303,569907.988038246
56.0,LAFARGEHOLCIM MAROC MOROCCO (MOROCCO),MOROCCO,2805827.470738218,2805827.470738218,2805827.470738218,561165.4941476437
57.0,SANTAM (SOUTH AFRICA),SOUTH AFRICA,2628936.5802691625,2628936.5802691625,2628936.5802691625,525787.3160538325
58.0,HELIOPOLIS CO. FOR HOUSING & DEVELOPMENT (EGYPT),EGYPT,2459722.4112872453,2459722.4112872453,2459722.4112872453,491944.48225744907
59.0,QUILTER (SOUTH AFRICA),SOUTH AFRICA,2415012.466888678,2415012.466888678,2415012.466888678,483002.4933777356
60.0,SAFARICOM KENYA (KENYA),KENYA,2030132.7580069602,2030132.7580069602,2030132.7580069602,406026.55160139204
61.0,PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),EGYPT,1988389.487261987,1988389.487261987,1988389.487261987,397677.89745239745
62.0,FAWRY EGYPT (EGYPT),EGYPT,1952139.4733061497,1952139.4733061497,1952139.4733061497,390427.89466123
63.0,EFG HOLDING EGYPT (EGYPT),EGYPT,1941929.4447299964,1941929.4447299964,1941929.4447299964,388385.8889459993
64.0,GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),NIGERIA,1757606.7548035379,1757606.7548035379,1757606.7548035379,351521.3509607076
65.0,BLUE LABEL TELECOMS (SOUTH AFRICA),SOUTH AFRICA,1735975.0946676969,1735975.0946676969,1735975.0946676969,347195.0189335394
66.0,RAYA HOLDING EGYPT (EGYPT),EGYPT,1709608.6784914474,1709608.6784914474,1709608.6784914474,341921.73569828947
67.0,TELECOM EGYPT (EGYPT),EGYPT,1642910.9465048043,1642910.9465048043,1642910.9465048043,328582.18930096086
68.0,RAUBEX (SOUTH AFRICA),SOUTH AFRICA,1445528.8327893177,1445528.8327893177,1445528.8327893177,289105.76655786356
69.0,EASTERN TOBACCO EGYPT (EGYPT),EGYPT,1415789.8601010765,1415789.8601010765,1415789.8601010765,283157.9720202153
70.0,EQUITY GROUP HOLDINGS KENYA (KENYA),KENYA,1331072.5644936778,1331072.5644936778,1331072.5644936778,266214.5128987356
71.0,EGYPT ALUMINIUM (EGYPT),EGYPT,1291606.7965120457,1291606.7965120457,1291606.7965120457,258321.35930240914
72.0,TAQA MOROCCO (MOROCCO),MOROCCO,1283799.1196923903,1283799.1196923903,1283799.1196923903,256759.82393847808
73.0,WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),SOUTH AFRICA,1276704.0293419405,1276704.0293419405,1276704.0293419405,255340.80586838812
74.0,ZENITH BANK NIGERIA (NIGERIA),NIGERIA,1254220.1537495987,1254220.1537495987,1254220.1537495987,250844.03074991974
75.0,NINETY ONE (SOUTH AFRICA),SOUTH AFRICA,1216728.4625394244,1216728.4625394244,1216728.4625394244,243345.6925078849
76.0,ABU QIR FERTILIZERS EGYPT (EGYPT),EGYPT,1142955.6377113322,1142955.6377113322,1142955.6377113322,228591.12754226645
77.0,ABU DHABI ISLAMIC BANK EGYPT (EGYPT),EGYPT,1103590.1163085094,1103590.1163085094,1103590.1163085094,220718.0232617019
78.0,KCB GROUP KENYA (KENYA),KENYA,1088691.3383013054,1088691.3383013054,1088691.3383013054,217738.2676602611
