Date,ADV_USD
2016-10-31,1050766905.2254816
2017-01-31,873068699.8431631
2017-04-30,1065368001.6412568
2017-07-31,1076681098.224347
2017-10-31,1058511834.0925411
2018-01-31,1265355680.8058178
2018-04-30,1316657194.4317148
2018-07-31,1106166325.589297
2018-10-31,1012078390.141013
2019-01-31,840426764.7621458
2019-04-30,965238542.783961
2019-07-31,2079015616.183107
2019-10-31,1394449569.6523774
2020-01-31,1479992916.9642315
2020-04-30,1866315182.748685
2020-07-31,2777882697.5097575
2020-10-31,1047312867.7244136
2021-01-31,1997567852.163572
2021-04-30,2233095969.918219
2021-07-31,2605247447.9782386
2021-10-31,2680582921.1937785
2022-01-31,2892397527.028787
2022-04-30,3771268837.9029016
2022-07-31,2924160707.59761
2022-10-31,1468967674.6395562
2023-01-31,1578834248.1014924
2023-04-30,1728950088.3138769
2023-07-31,2166363536.891121
2023-10-31,1256292617.7607605
2024-01-31,1385010707.5629475
2024-04-30,1238597937.768225
2024-07-31,1009990184.0565548
2024-10-31,946078783.476692
2025-01-31,905728907.7010825
2025-04-30,1136988282.1459608
2025-07-31,1053554203.0832781
2025-10-31,1249741839.6010282
2026-01-31,1253248456.5834842
