Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),NonZeroVolumeDays90d,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
DELTA CORPORATION LIMITED (ZIMBABWE),OK,857280682.2485336,2384.52027972028,86,86,857280682.2485336,857280682.2485336,171456136.44970673,30,,,,,2022-07-31,2022-06-30,2022-07-31,ZIMBABWE,LOW,857280682.2485336,1.0,True,2022-07-31
INNSCOR AFRICA (ZIMBABWE),OK,725379745.5042226,2799.425874125875,86,86,725379745.5042226,725379745.5042226,145075949.10084453,30,,,,,2022-07-31,2022-06-30,2022-07-31,ZIMBABWE,LOW,725379745.5042226,2.0,True,2022-07-31
REDEFINE PROPERTIES (SOUTH AFRICA),OK,429300114.8465183,22.57664062048237,84,84,429300114.8465183,429300114.8465183,85860022.96930367,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,429300114.8465183,3.0,True,2022-07-31
SIMBISA BRANDS (ZIMBABWE),OK,407085418.49612224,1358.782517482518,86,86,407085418.49612224,407085418.49612224,81417083.69922446,30,,,,,2022-07-31,2022-06-30,2022-07-31,ZIMBABWE,LOW,407085418.49612224,4.0,True,2022-07-31
TN CYBERTECH INVESTMENTS HOLDINGS (ZIMBABWE),OK,251698947.90963954,478.2944055944056,83,83,251698947.90963954,251698947.90963954,50339789.58192791,30,,,,,2022-07-31,2022-06-30,2022-07-31,ZIMBABWE,LOW,251698947.90963954,5.0,True,2022-07-31
NASPERS (SOUTH AFRICA),OK,140808145.62013352,29.1306332409352,84,84,140808145.62013352,140808145.62013352,28161629.124026705,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,140808145.62013352,6.0,True,2022-07-31
PROSUS (SOUTH AFRICA),OK,69068068.04598396,29.78024993017851,84,84,69068068.04598396,69068068.04598396,13813613.609196791,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,69068068.04598396,7.0,True,2022-07-31
PPC (SOUTH AFRICA),OK,67185448.92357098,17.65530206560883,84,84,67185448.92357098,67185448.92357098,13437089.784714196,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,67185448.92357098,8.0,True,2022-07-31
ANGLO AMERICAN (SOUTH AFRICA),OK,56540808.029461674,35.70984772148176,84,84,56540808.029461674,56540808.029461674,11308161.605892336,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,56540808.029461674,9.0,True,2022-07-31
MTN GROUP (SOUTH AFRICA),OK,52636311.57774331,8.122669284818778,84,84,52636311.57774331,52636311.57774331,10527262.315548662,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,52636311.57774331,10.0,True,2022-07-31
FIRSTRAND (SOUTH AFRICA),OK,47816805.792292915,3.758672321284666,84,84,47816805.792292915,47816805.792292915,9563361.158458583,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,47816805.792292915,11.0,True,2022-07-31
GRINDROD (SOUTH AFRICA),OK,46711430.937180154,52.4122556094032,84,84,46711430.937180154,46711430.937180154,9342286.187436031,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,46711430.937180154,12.0,True,2022-07-31
BLUE LABEL TELECOMS (SOUTH AFRICA),OK,41960665.620254055,38.26340726414178,84,84,41960665.620254055,41960665.620254055,8392133.124050811,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,41960665.620254055,13.0,True,2022-07-31
CAPITEC BANK (SOUTH AFRICA),OK,40295617.09205524,121.9341598721436,84,84,40295617.09205524,40295617.09205524,8059123.418411048,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,40295617.09205524,14.0,True,2022-07-31
GOLD FIELDS (SOUTH AFRICA),OK,38494490.26547703,9.412059986195645,84,84,38494490.26547703,38494490.26547703,7698898.053095407,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,38494490.26547703,15.0,True,2022-07-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),OK,37413253.22722884,11.14314082287241,84,84,37413253.22722884,37413253.22722884,7482650.645445769,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,37413253.22722884,16.0,True,2022-07-31
STANDARD BANK GROUP (SOUTH AFRICA),OK,36675605.39575411,9.54555129449659,84,84,36675605.39575411,36675605.39575411,7335121.079150822,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,36675605.39575411,17.0,True,2022-07-31
ABSA (SOUTH AFRICA),OK,34384853.8825285,9.510486757293116,84,84,34384853.8825285,34384853.8825285,6876970.7765057,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,34384853.8825285,18.0,True,2022-07-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),OK,33571928.594191596,43.08385837864041,84,84,33571928.594191596,33571928.594191596,6714385.718838319,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,33571928.594191596,19.0,True,2022-07-31
SIBANYE STILLWATER (SOUTH AFRICA),OK,31674522.97058087,2.501885487833836,84,84,31674522.97058087,31674522.97058087,6334904.594116174,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,31674522.97058087,20.0,True,2022-07-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),OK,27704658.065762915,15.07344482625829,84,84,27704658.065762915,27704658.065762915,5540931.613152583,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,27704658.065762915,21.0,True,2022-07-31
SHOPRITE HOLDINGS (SOUTH AFRICA),OK,27607857.98065316,12.1729309154797,84,84,27607857.98065316,27607857.98065316,5521571.596130632,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,27607857.98065316,22.0,True,2022-07-31
SANLAM (SOUTH AFRICA),OK,24516911.83789868,3.252389617452051,84,84,24516911.83789868,24516911.83789868,4903382.367579736,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,24516911.83789868,23.0,True,2022-07-31
FOSCHINI (SOUTH AFRICA),OK,23093041.36979733,7.505041296182148,84,84,23093041.36979733,23093041.36979733,4618608.273959466,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,23093041.36979733,24.0,True,2022-07-31
GLENCORE (SOUTH AFRICA),OK,21226739.862975772,5.200624517862614,84,84,21226739.862975772,21226739.862975772,4245347.972595154,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,21226739.862975772,25.0,True,2022-07-31
BID CORP (SOUTH AFRICA),OK,19504158.853192993,18.87394852525939,84,84,19504158.853192993,19504158.853192993,3900831.7706385986,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,19504158.853192993,26.0,True,2022-07-31
BID CORPORATION (SOUTH AFRICA),OK,19504158.853192993,18.87394852525939,84,84,19504158.853192993,19504158.853192993,3900831.7706385986,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,19504158.853192993,27.0,True,2022-07-31
WOOLWORTHS HOLDINGS (SOUTH AFRICA),OK,18106112.396642804,3.337282707523619,84,84,18106112.396642804,18106112.396642804,3621222.479328561,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,18106112.396642804,28.0,True,2022-07-31
CLICKS (SOUTH AFRICA),OK,17656511.453018907,16.81313800540609,84,84,17656511.453018907,17656511.453018907,3531302.2906037816,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,17656511.453018907,29.0,True,2022-07-31
TIGER BRANDS (SOUTH AFRICA),OK,16267185.790607495,8.73783660417797,84,84,16267185.790607495,16267185.790607495,3253437.1581214992,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,16267185.790607495,30.0,True,2022-07-31
VODACOM (SOUTH AFRICA),OK,14736749.620511778,8.066689058757092,84,84,14736749.620511778,14736749.620511778,2947349.9241023557,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,14736749.620511778,31.0,True,2022-07-31
DISCOVERY HOLDINGS (SOUTH AFRICA),OK,14707359.968473699,7.880293360991256,84,84,14707359.968473699,14707359.968473699,2941471.99369474,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,14707359.968473699,32.0,True,2022-07-31
MR PRICE (SOUTH AFRICA),OK,14129390.497601267,10.911222743474,84,84,14129390.497601267,14129390.497601267,2825878.0995202535,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,14129390.497601267,33.0,True,2022-07-31
MONDI (SOUTH AFRICA),OK,13736430.86980239,17.73281314784808,84,84,13736430.86980239,13736430.86980239,2747286.173960478,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,13736430.86980239,34.0,True,2022-07-31
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),OK,13136129.929084802,10.53720101330361,84,84,13136129.929084802,13136129.929084802,2627225.9858169607,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,13136129.929084802,35.0,True,2022-07-31
KUMBA IRON ORE (SOUTH AFRICA),OK,12568485.083802808,32.33627014211596,84,84,12568485.083802808,12568485.083802808,2513697.0167605616,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,12568485.083802808,36.0,True,2022-07-31
EXXARO RESOURCES (SOUTH AFRICA),OK,12525139.435391363,11.82966755127727,84,84,12525139.435391363,12525139.435391363,2505027.8870782726,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,12525139.435391363,37.0,True,2022-07-31
HULAMIN LIMITED (SOUTH AFRICA),OK,12518735.458996989,15.13311605623614,84,84,12518735.458996989,12518735.458996989,2503747.091799398,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,12518735.458996989,38.0,True,2022-07-31
BIDVEST (SOUTH AFRICA),OK,12391670.48636937,12.89329184644932,84,84,12391670.48636937,12391670.48636937,2478334.097273874,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,12391670.48636937,39.0,True,2022-07-31
OLD MUTUAL (SOUTH AFRICA),OK,11708193.53254652,0.6785295532531893,84,84,11708193.53254652,11708193.53254652,2341638.7065093042,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,11708193.53254652,40.0,True,2022-07-31
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),OK,11080630.999513166,8.553286408370212,84,84,11080630.999513166,11080630.999513166,2216126.199902633,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,11080630.999513166,41.0,True,2022-07-31
FIRST CAPITAL BANK (ZIMBABWE),OK,10311157.011045186,85.55104895104895,86,86,10311157.011045186,10311157.011045186,2062231.4022090372,30,,,,,2022-07-31,2022-06-30,2022-07-31,ZIMBABWE,LOW,10311157.011045186,42.0,True,2022-07-31
REMGRO (SOUTH AFRICA),OK,9338727.817006538,7.833540644719958,84,84,9338727.817006538,9338727.817006538,1867745.5634013077,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,9338727.817006538,43.0,True,2022-07-31
INVESTEC (SOUTH AFRICA),OK,9015159.746739587,5.376562371199343,84,84,9015159.746739587,9015159.746739587,1803031.9493479175,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,9015159.746739587,44.0,True,2022-07-31
PEPKOR HOLDINGS LTD (SOUTH AFRICA),OK,8971860.312543001,1.176199914614776,84,84,8971860.312543001,8971860.312543001,1794372.0625086003,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,8971860.312543001,45.0,True,2022-07-31
GROWTHPOINT PROPERTIES (SOUTH AFRICA),OK,8456847.590815997,0.7597316394086028,84,84,8456847.590815997,8456847.590815997,1691369.5181631995,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,8456847.590815997,46.0,True,2022-07-31
REINET INVEST (SOUTH AFRICA),OK,7846737.985672159,17.58148198728572,84,84,7846737.985672159,7846737.985672159,1569347.5971344318,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,7846737.985672159,47.0,True,2022-07-31
SPAR (SOUTH AFRICA),OK,7632340.7919282345,8.496691014989167,84,84,7632340.7919282345,7632340.7919282345,1526468.158385647,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,7632340.7919282345,48.0,True,2022-07-31
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),OK,6485338.16606204,3.197024558709724,84,84,6485338.16606204,6485338.16606204,1297067.633212408,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,6485338.16606204,49.0,True,2022-07-31
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),OK,5745602.227459879,13.14920145130274,84,84,5745602.227459879,5745602.227459879,1149120.4454919759,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,5745602.227459879,50.0,True,2022-07-31
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),OK,5306205.6127731865,1.986264512038532,82,82,5306205.6127731865,5306205.6127731865,1061241.1225546373,30,,,,,2022-07-31,2022-06-30,2022-07-31,EGYPT,MID,5306205.6127731865,51.0,True,2022-07-31
TRUWORTHS INT (SOUTH AFRICA),OK,5262868.205986517,3.116437639873669,84,84,5262868.205986517,5262868.205986517,1052573.6411973033,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,5262868.205986517,52.0,True,2022-07-31
OUTSURANCE (SOUTH AFRICA),OK,4229004.893085835,1.708934813179837,84,84,4229004.893085835,4229004.893085835,845800.978617167,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,4229004.893085835,53.0,True,2022-07-31
QUILTER (SOUTH AFRICA),OK,3840736.471828463,1.237716646550695,84,84,3840736.471828463,3840736.471828463,768147.2943656927,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,3840736.471828463,54.0,True,2022-07-31
EFG HOLDING EGYPT (EGYPT),OK,3000113.392115101,0.6356259557033177,82,82,3000113.392115101,3000113.392115101,600022.6784230203,30,,,,,2022-07-31,2022-06-30,2022-07-31,EGYPT,MID,3000113.392115101,55.0,True,2022-07-31
LIFE HEALTHCARE (SOUTH AFRICA),OK,2675449.4676981,0.715439592414741,84,84,2675449.4676981,2675449.4676981,535089.89353962,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,2675449.4676981,56.0,True,2022-07-31
CORONATION (NAMIBIA),OK,2647861.075876503,2.066961465571699,84,84,2647861.075876503,2647861.075876503,529572.2151753006,30,,,,,2022-07-31,2022-06-30,2022-07-31,NAMIBIA,LOW,2647861.075876503,57.0,True,2022-07-31
AVI (SOUTH AFRICA),OK,2642957.107326574,4.042879622828613,84,84,2642957.107326574,2642957.107326574,528591.4214653148,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,2642957.107326574,58.0,True,2022-07-31
NINETY ONE (SOUTH AFRICA),OK,2577854.898178743,2.370854848810328,84,84,2577854.898178743,2577854.898178743,515570.97963574866,30,,,,,2022-07-31,2022-06-30,2022-07-31,SOUTH AFRICA,HIGH,2577854.898178743,59.0,True,2022-07-31
ATTIJARIWAFA BANK MOROCCO (MOROCCO),OK,2432880.843864863,43.5978824350796,87,87,2432880.843864863,2432880.843864863,486576.1687729726,30,,,,,2022-07-31,2022-06-30,2022-07-31,MOROCCO,MID,2432880.843864863,60.0,True,2022-07-31
MTN NIGERIA (NIGERIA),OK,2257461.2909456063,0.5545241941316875,85,85,2257461.2909456063,2257461.2909456063,451492.25818912126,30,,,,,2022-07-31,2022-06-30,2022-07-31,NIGERIA,MID,2257461.2909456063,61.0,True,2022-07-31
