Company,HasPriceData,Status,Dividend_Status,Materiality,Action,ActionRequired,DividendEvents,WorkbookHeader,HasDividendSeries,LatestMaxWeight,BestLiquidityRank,InAM100
MARIDIVE OIL SERVICE EGYPT (EGYPT),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
MEGA AFRICAN CAPITAL LIMITED (GHANA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
MOTUS HOLDINGS (SOUTH AFRICA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.01877141100478323,113.0,False
MTN RWANDA (RWANDA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,,,False
MUCOBA BANK TANZANIA (TANZANIA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
MWALIMU COMMERCIAL BANK TANZANIA (TANZANIA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
NAIROBI BUSINESS VENTURES KENYA (KENYA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
NEDBANK LIMITED (SOUTH AFRICA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.004638774064762395,28.0,True
NETCARE LTD (SOUTH AFRICA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.01544609964744023,121.0,False
OMNIA HOLDINGS LTD (SOUTH AFRICA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.006078457263423175,161.0,False
PFUMA REIT (ZIMBABWE),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
PICK N PAY STORES (SOUTH AFRICA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.0008386927252682356,93.0,True
PRECISION AIR SERVICES TANZANIA (TANZANIA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,,,False
STANDARD CHARTERED BANK ZAMBIA (ZAMBIA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,,,False
STARAFRICACORPORATION (ZIMBABWE),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
SUN INTERNATIONAL LTD (SOUTH AFRICA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,0.00471846793263575,169.0,False
TANZANIA TEA PACKERS (TANZANIA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
UCHUMI SUPERMARKETS KENYA (KENYA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
UMEME UGANDA (UGANDA),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,False,,,False
ZIMBABWE STOCK EXCHANGE HOLDINGS (ZIMBABWE),True,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,SOURCE_DIVIDENDS,0,,True,,,False
BELTONE HOLDING EGYPT (EGYPT),True,Zero Dividend,ZERO_CONFIRMED,MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/egypt/BELTONE HOLDING EGYPT.csv,SOURCE_DIVIDENDS,0,BELTONE HOLDING EGYPT (EGYPT),True,0.03495498333887967,41.0,True
EMAAR MISR EGYPT (EGYPT),True,Zero Dividend,ZERO_CONFIRMED,MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/egypt/EMAAR MISR EGYPT.csv,SOURCE_DIVIDENDS,0,EMAAR MISR EGYPT (EGYPT),True,0.02515375890773567,104.0,False
FAWRY EGYPT (EGYPT),True,Zero Dividend,ZERO_CONFIRMED,MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/egypt/FAWRY EGYPT.csv,SOURCE_DIVIDENDS,0,FAWRY EGYPT (EGYPT),True,0.01450727651325905,71.0,True
OANDO PLC NIGERIA (NIGERIA),True,Zero Dividend,ZERO_CONFIRMED,MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/nigeria/OANDO PLC NIGERIA.csv,SOURCE_DIVIDENDS,0,OANDO PLC NIGERIA (NIGERIA),True,0.002586890125590396,67.0,True
SUEZ CANAL BANK (EGYPT),True,Zero Dividend,ZERO_CONFIRMED,NON_MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/egypt/SUEZ CANAL BANK.csv,SOURCE_DIVIDENDS,0,,True,,,False
ZAMBEEF PRODUCTS (ZAMBIA),True,Zero Dividend,ZERO_CONFIRMED,NON_MATERIAL,Zero file ensured: /Users/derrythornalley/AM100_DATA/data/dividends/zambia/ZAMBEEF PRODUCTS.csv,SOURCE_DIVIDENDS,0,,True,,,False
