Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
NASPERS (SOUTH AFRICA),1338389854.8148148,618.55,90,0.6666666666666666,3011377173.3333335,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,1338389854.8148148,5.0,1.0,True,2020-08-31
TANZANIA BREWERIES LTD (TANZANIA),638492159.4333332,10900.0,90,0.7,1303045223.3333333,,,21.0,2020-08-31,TANZANIA,LOW,638492159.4333332,5.0,2.0,True,2020-08-31
PROSUS (SOUTH AFRICA),517564859.9303704,777.47,90,0.6666666666666666,1164520934.8433335,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,517564859.9303704,2.8739724880838926,3.0,True,2020-08-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),385709060.39866656,494.66,90,0.6666666666666666,867845385.8969998,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,385709060.39866656,2.141793838437154,4.0,True,2020-08-31
SIBANYE STILLWATER (SOUTH AFRICA),350899357.18518513,51.29,90,0.6666666666666666,789523553.6666666,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,350899357.18518513,1.9484999402243388,5.0,True,2020-08-31
PPC (SOUTH AFRICA),322848296.29629624,80.0,90,0.6666666666666666,726408666.6666666,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,322848296.29629624,1.7927359316958646,6.0,True,2020-08-31
ANGLO AMERICAN (SOUTH AFRICA),284425319.21185184,391.75,90,0.6666666666666666,639956968.2266667,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,284425319.21185184,1.5793779787122963,7.0,True,2020-08-31
FIRSTRAND (SOUTH AFRICA),258962094.8148148,37.08,90,0.6666666666666666,582664713.3333334,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,258962094.8148148,1.4379839003259929,8.0,True,2020-08-31
GOLD FIELDS (SOUTH AFRICA),251603715.1111111,219.07,90,0.6666666666666666,566108359.0,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,251603715.1111111,1.3971237445028861,9.0,True,2020-08-31
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),241652641.77925923,571.72,90,0.6666666666666666,543718444.0033333,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,241652641.77925923,1.341866687471435,10.0,True,2020-08-31
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),234322571.85185185,156.37,90,0.6666666666666666,527225786.6666667,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,234322571.85185185,1.3011637322709328,11.0,True,2020-08-31
BLUE LABEL TELECOMS (SOUTH AFRICA),222788087.85185185,320.0,90,0.6666666666666666,501273197.6666667,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,222788087.85185185,1.237114195204789,12.0,True,2020-08-31
STANDARD BANK GROUP (SOUTH AFRICA),203187160.0,105.59,90,0.6666666666666666,457171110.0,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,203187160.0,1.128272711270354,13.0,True,2020-08-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),196595917.6846,25.5,90,0.7,401216158.54,,,21.0,2020-08-31,NIGERIA,MID,196595917.6846,5.0,14.0,True,2020-08-31
MTN GROUP (SOUTH AFRICA),190376970.37037036,61.07,90,0.6666666666666666,428348183.3333333,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,190376970.37037036,1.057139341497827,15.0,True,2020-08-31
SANLAM (SOUTH AFRICA),149216777.77777776,54.98,90,0.6666666666666666,335737750.0,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,149216777.77777776,0.8285819755065192,16.0,True,2020-08-31
ZENITH BANK NIGERIA (NIGERIA),142045168.90363333,16.75,90,0.7,289888099.80333334,,,21.0,2020-08-31,NIGERIA,MID,142045168.90363333,5.0,17.0,True,2020-08-31
SAFARICOM KENYA (KENYA),138337142.59166667,29.9,90,0.7,282320699.1666667,,,21.0,2020-08-31,KENYA,MID,138337142.59166667,5.0,18.0,True,2020-08-31
EASTERN TOBACCO EGYPT (EGYPT),137968574.9488074,254.4,90,0.6333333333333333,343965976.32666665,,,19.0,2020-08-31,EGYPT,MID,137968574.9488074,5.0,19.0,True,2020-08-31
ABSA (SOUTH AFRICA),134321420.74074075,77.25,90,0.6666666666666666,302223196.6666667,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,134321420.74074075,0.7458699337145197,20.0,True,2020-08-31
BID CORP (SOUTH AFRICA),125458989.91703703,279.91,90,0.6666666666666666,282282727.31333333,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,125458989.91703703,0.6966579714335067,21.0,True,2020-08-31
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),113849230.96296296,110.61,90,0.6666666666666666,256160769.66666666,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,113849230.96296296,0.6321904420270795,22.0,True,2020-08-31
CLICKS (SOUTH AFRICA),106296292.8711111,230.0,90,0.6666666666666666,239166658.95999998,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,106296292.8711111,0.5902499279761384,23.0,True,2020-08-31
SHOPRITE HOLDINGS (SOUTH AFRICA),103219854.8,110.5,90,0.6666666666666666,232244673.3,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,103219854.8,0.5731668547959834,24.0,True,2020-08-31
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),102315536.31111111,160.05,90,0.6666666666666666,230209956.7,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,102315536.31111111,0.5681452881117964,25.0,True,2020-08-31
VODACOM (SOUTH AFRICA),89432683.16740741,127.87,90,0.6666666666666666,201223537.12666667,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,89432683.16740741,0.4966084269964367,26.0,True,2020-08-31
MR PRICE (SOUTH AFRICA),85176628.81777778,115.88,90,0.6666666666666666,191647414.84000003,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,85176628.81777778,0.4729750931756844,27.0,True,2020-08-31
BIDVEST (SOUTH AFRICA),83262676.95851852,136.11,90,0.6666666666666666,187341023.1566667,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,83262676.95851852,0.4623471595331876,28.0,True,2020-08-31
MTN NIGERIA (NIGERIA),83147621.00915666,117.8,90,0.7,169689022.4676667,,,21.0,2020-08-31,NIGERIA,MID,83147621.00915666,5.0,29.0,True,2020-08-31
GRINDROD (SOUTH AFRICA),82034750.14814815,342.0,90,0.6666666666666666,184578187.83333334,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,82034750.14814815,0.45552863659316456,30.0,True,2020-08-31
DANGOTE CEMENT NIGERIA (NIGERIA),80685003.41229999,134.9,90,0.7,164663272.27,,,21.0,2020-08-31,NIGERIA,MID,80685003.41229999,5.0,31.0,True,2020-08-31
KUMBA IRON ORE (SOUTH AFRICA),77701232.95703702,531.0,90,0.6666666666666666,174827774.1533333,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,77701232.95703702,0.4314651613688854,32.0,True,2020-08-31
FOSCHINI (SOUTH AFRICA),75052329.48148148,76.37,90,0.6666666666666666,168867741.33333334,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,75052329.48148148,0.4167561339566291,33.0,True,2020-08-31
CAPITEC BANK (SOUTH AFRICA),75044758.8125926,414.565,90,0.6666666666666666,168850707.32833335,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,75044758.8125926,0.4167140949856951,34.0,True,2020-08-31
WOOLWORTHS HOLDINGS (SOUTH AFRICA),72991491.85185185,31.79,90,0.6666666666666666,164230856.66666666,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,72991491.85185185,0.4053125621292056,35.0,True,2020-08-31
DISCOVERY HOLDINGS (SOUTH AFRICA),70877024.89333332,121.03,90,0.6666666666666666,159473306.00999996,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,70877024.89333332,0.39357119339222785,36.0,True,2020-08-31
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),70628713.54814814,135.87,90,0.6666666666666666,158914605.48333332,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,70628713.54814814,0.39219235176330175,37.0,True,2020-08-31
NIGERIAN BREWERIES (NIGERIA),68098518.82633333,37.0,90,0.7,138976569.03333333,,,21.0,2020-08-31,NIGERIA,MID,68098518.82633333,5.0,38.0,True,2020-08-31
MONDI (SOUTH AFRICA),67761022.96888888,320.53,90,0.6666666666666666,152462301.67999998,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,67761022.96888888,0.3762684271169545,39.0,True,2020-08-31
REINET INVEST (SOUTH AFRICA),66431304.96888888,323.12,90,0.6666666666666666,149470436.17999998,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,66431304.96888888,0.3688846705199088,40.0,True,2020-08-31
REMGRO (SOUTH AFRICA),65663602.25777778,86.18,90,0.6666666666666666,147743105.08,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,65663602.25777778,0.36462171404512506,41.0,True,2020-08-31
ABU QIR FERTILIZERS EGYPT (EGYPT),65632444.19931851,355.6,90,0.6333333333333333,163626592.18666667,,,19.0,2020-08-31,EGYPT,MID,65632444.19931851,4.863797682556981,42.0,True,2020-08-31
OLD MUTUAL (SOUTH AFRICA),61700811.85185184,9.58,90,0.6666666666666666,138826826.66666666,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,61700811.85185184,0.34261683797180326,43.0,True,2020-08-31
SONATEL SENEGAL (SENEGAL),59168706.14814814,12490.0,90,0.6666666666666666,133129588.83333333,,,20.0,2020-08-31,SENEGAL,LOW,59168706.14814814,5.0,44.0,True,2020-08-31
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),54454031.60601445,67.57,90,0.6333333333333333,135757973.53300002,,,19.0,2020-08-31,EGYPT,MID,54454031.60601445,4.035403464891343,45.0,True,2020-08-31
EXXARO RESOURCES (SOUTH AFRICA),52061837.8237037,132.97,90,0.6666666666666666,117139135.10333332,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,52061837.8237037,0.2890928290698469,46.0,True,2020-08-31
FIRST HOLDCO NIGERIA (NIGERIA),51571913.72071666,4.9,90,0.7,105248803.51166667,,,21.0,2020-08-31,NIGERIA,MID,51571913.72071666,3.821819490343691,47.0,True,2020-08-31
TIGER BRANDS (SOUTH AFRICA),51511917.838518515,171.35,90,0.6666666666666666,115901815.13666667,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,51511917.838518515,0.2860391926458394,48.0,True,2020-08-31
NESTLÉ NIGERIA (NIGERIA),50984044.3,1175.0,90,0.7,104049070.0,,,21.0,2020-08-31,NIGERIA,MID,50984044.3,3.7782544828080202,49.0,True,2020-08-31
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),50528998.6637037,212.85,90,0.6666666666666666,113690246.99333334,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,50528998.6637037,0.28058116625121915,50.0,True,2020-08-31
CRDB BANK PLC TANZANIA (TANZANIA),48698420.18999999,160.0,90,0.7,99384531.0,,,21.0,2020-08-31,TANZANIA,LOW,48698420.18999999,5.0,51.0,True,2020-08-31
SPAR (SOUTH AFRICA),48633471.099259265,161.66,90,0.6666666666666666,109425309.97333334,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,48633471.099259265,0.2700555403975805,52.0,True,2020-08-31
GLENCORE (SOUTH AFRICA),47802177.14962962,38.78,90,0.6666666666666666,107554898.58666666,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,47802177.14962962,0.26543946978361416,53.0,True,2020-08-31
BRALIRWA RWANDA (RWANDA),45702505.07037037,137.0,90,0.6333333333333333,113939763.33333333,,,19.0,2020-08-31,RWANDA,LOW,45702505.07037037,5.0,54.0,True,2020-08-31
TRUWORTHS INT (SOUTH AFRICA),45200362.066370375,30.4,90,0.6666666666666666,101700814.64933334,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,45200362.066370375,0.2509919182837408,55.0,True,2020-08-31
BANK OF AFRICA SENEGAL (SENEGAL),43505669.62962963,27000.0,90,0.6666666666666666,97887756.66666667,,,20.0,2020-08-31,SENEGAL,LOW,43505669.62962963,5.0,56.0,True,2020-08-31
QUILTER (SOUTH AFRICA),42941300.74074074,30.91,90,0.6666666666666666,96617926.66666667,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,42941300.74074074,0.23844763523556906,57.0,True,2020-08-31
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),38275454.8894963,28.3,90,0.6333333333333333,95423571.74666667,,,19.0,2020-08-31,EGYPT,MID,38275454.8894963,2.8364640546523994,58.0,True,2020-08-31
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),35531191.601616666,6.25,90,0.7,72512635.92166667,,,21.0,2020-08-31,NIGERIA,MID,35531191.601616666,2.633096016439772,59.0,True,2020-08-31
EQUITY GROUP HOLDINGS KENYA (KENYA),32991552.346666664,36.65,90,0.7,67329698.66666667,,,21.0,2020-08-31,KENYA,MID,32991552.346666664,2.444891970811911,60.0,True,2020-08-31
PRESCO PLC NIGERIA (NIGERIA),32139813.81076666,49.0,90,0.7,65591456.75666666,,,21.0,2020-08-31,NIGERIA,MID,32139813.81076666,2.3817725187239462,61.0,True,2020-08-31
NBS BANK MALAWI (MALAWI),31587841.099259257,19.44,90,0.6666666666666666,71072642.47333333,,,20.0,2020-08-31,MALAWI,LOW,31587841.099259257,5.0,62.0,True,2020-08-31
LAFARGE AFRICA NIGERIA (NIGERIA),30823697.890999995,11.95,90,0.7,62905505.9,,,21.0,2020-08-31,NIGERIA,MID,30823697.890999995,2.284239634818277,63.0,True,2020-08-31
TANZANIA CIGARETTE COMPANY (TANZANIA),30527228.66666666,17000.0,90,0.7,62300466.666666664,,,21.0,2020-08-31,TANZANIA,LOW,30527228.66666666,5.0,64.0,True,2020-08-31
AVI (SOUTH AFRICA),29482499.29185185,66.55,90,0.6666666666666666,66335623.406666666,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,29482499.29185185,0.1637126057130971,65.0,True,2020-08-31
SEPLAT ENERGY NIGERIA (NIGERIA),26525317.599433333,385.0,90,0.7,54133301.22333334,,,21.0,2020-08-31,NIGERIA,MID,26525317.599433333,1.9657012601482748,66.0,True,2020-08-31
KCB GROUP KENYA (KENYA),25134042.19666666,37.0,90,0.7,51293963.666666664,,,21.0,2020-08-31,KENYA,MID,25134042.19666666,1.8625985620493775,67.0,True,2020-08-31
INVESTEC (SOUTH AFRICA),25076294.670666665,29.31,90,0.6666666666666666,56421663.008999996,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,25076294.670666665,0.1392455063434491,68.0,True,2020-08-31
LIFE HEALTHCARE (SOUTH AFRICA),22917709.629629627,10.74,90,0.6666666666666666,51564846.666666664,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,22917709.629629627,0.12725915545022096,69.0,True,2020-08-31
UNILEVER NIGERIA (NIGERIA),19990982.559916664,15.0,90,0.7,40797923.59166667,,,21.0,2020-08-31,NIGERIA,MID,19990982.559916664,1.4814638679564713,70.0,True,2020-08-31
OKOMU OIL PALM NIGERIA (NIGERIA),17436047.901066665,79.0,90,0.7,35583771.22666667,,,21.0,2020-08-31,NIGERIA,MID,17436047.901066665,1.2921263318583085,71.0,True,2020-08-31
STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),14627043.809349999,36.05,90,0.7,29851109.815,,,21.0,2020-08-31,NIGERIA,MID,14627043.809349999,1.0839605724041381,72.0,True,2020-08-31
EAST AFRICAN BREWERIES KENYA (KENYA),13882561.256666666,161.0,90,0.7,28331757.666666668,,,21.0,2020-08-31,KENYA,MID,13882561.256666666,1.028789497204673,73.0,True,2020-08-31
BANK OF AFRICA NIGER (NIGER),13683034.074074075,33550.0,90,0.6666666666666666,30786826.666666668,,,20.0,2020-08-31,NIGER,LOW,13683034.074074075,2.7094786904841657,74.0,True,2020-08-31
EFG HOLDING EGYPT (EGYPT),13667769.494926665,14.05,90,0.6333333333333333,34074771.594,,,19.0,2020-08-31,EGYPT,MID,13667769.494926665,1.0128720087471246,75.0,True,2020-08-31
OUTSURANCE (SOUTH AFRICA),13526288.674074072,16.24,90,0.6666666666666666,30434149.516666666,,,20.0,2020-08-31,SOUTH AFRICA,HIGH,13526288.674074072,0.0751097775849765,76.0,True,2020-08-31
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),12972986.158145556,0.57,90,0.6333333333333333,32342624.771,,,19.0,2020-08-31,EGYPT,MID,12972986.158145556,0.9613839737586264,77.0,True,2020-08-31
CORONATION (NAMIBIA),11121016.604444444,42.81,90,0.6666666666666666,25022287.36,,,20.0,2020-08-31,NAMIBIA,LOW,11121016.604444444,2.202154678789823,78.0,True,2020-08-31
