Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),2938008149.9999995,237.0,90,0.7,5995935000.0,5995935000.0,1199187000.0,21.0,0,7,10567465000.0,61125097500.000015,2020-11-30,SOUTH AFRICA,HIGH,2938008149.9999995,5.0,1.0,True,2020-11-30
NASPERS (SOUTH AFRICA),1878244855.666666,625.79,90,0.7,3833152766.666666,3833152766.666666,766630553.3333333,21.0,0,7,2082761650.0,9892858325.000006,2020-11-30,SOUTH AFRICA,HIGH,1878244855.666666,5.0,2.0,True,2020-11-30
ZENITH BANK NIGERIA (NIGERIA),649991693.0814998,24.0,90,0.7,1326513659.35,1326513659.35,265302731.87,21.0,0,6,394224116.0,5189277974.374667,2020-11-30,NIGERIA,MID,649991693.0814998,5.0,3.0,True,2020-11-30
PROSUS (SOUTH AFRICA),498296180.33393323,773.03,90,0.7,1016930980.2733333,1016930980.2733333,203386196.05466667,21.0,0,2,875123700.0,3719774520.0000253,2020-11-30,SOUTH AFRICA,HIGH,498296180.33393323,2.365094955749072,4.0,True,2020-11-30
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),481222574.37846655,33.2,90,0.7,982086886.4866666,982086886.4866666,196417377.29733333,21.0,0,6,466474429.5,3729669345.9904943,2020-11-30,NIGERIA,MID,481222574.37846655,5.0,5.0,True,2020-11-30
PPC (SOUTH AFRICA),382057246.66666657,81.0,90,0.7,779708666.6666666,779708666.6666666,155941733.33333334,21.0,0,7,1066980000.0,9944344250.000002,2020-11-30,SOUTH AFRICA,HIGH,382057246.66666657,1.8133826879691577,6.0,True,2020-11-30
FIRSTRAND (SOUTH AFRICA),356071966.66999996,44.55,90,0.7,726677483.0,726677483.0,145335496.6,21.0,0,7,592548800.0,2358235090.0,2020-11-30,SOUTH AFRICA,HIGH,356071966.66999996,1.690047095465403,7.0,True,2020-11-30
SIBANYE STILLWATER (SOUTH AFRICA),351346511.3666666,51.5,90,0.7,717033696.6666666,717033696.6666666,143406739.33333334,21.0,0,7,195928500.0,1649862636.0000002,2020-11-30,SOUTH AFRICA,HIGH,351346511.3666666,1.667618365439735,8.0,True,2020-11-30
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),308154522.75043327,326.36,90,0.7,628886781.1233333,628886781.1233333,125777356.22466667,21.0,0,7,293781000.0,1533125732.0000007,2020-11-30,SOUTH AFRICA,HIGH,308154522.75043327,1.462613473897988,9.0,True,2020-11-30
ANGLO AMERICAN (SOUTH AFRICA),294751882.3375,449.91,90,0.7,601534453.75,601534453.75,120306890.75,21.0,0,7,522983600.0,2144506688.9999998,2020-11-30,SOUTH AFRICA,HIGH,294751882.3375,1.398999666517196,10.0,True,2020-11-30
STANDARD BANK GROUP (SOUTH AFRICA),258081240.89999998,121.14,90,0.7,526696410.0,526696410.0,105339282.0,21.0,0,7,576314800.0,2015033785.0000005,2020-11-30,SOUTH AFRICA,HIGH,258081240.89999998,1.2249474612006865,11.0,True,2020-11-30
CAPITEC BANK (SOUTH AFRICA),249870677.55066663,1286.41,90,0.7,509940158.26666665,509940158.26666665,101988031.65333334,21.0,0,7,178304275.5,1116910454.9400008,2020-11-30,SOUTH AFRICA,HIGH,249870677.55066663,1.1859771404802808,12.0,True,2020-11-30
GOLD FIELDS (SOUTH AFRICA),241939309.7333333,131.54,90,0.7,493753693.3333333,493753693.3333333,98750738.66666667,21.0,0,7,147134800.0,1230046881.0,2020-11-30,SOUTH AFRICA,HIGH,241939309.7333333,1.1483319833281738,13.0,True,2020-11-30
IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),239447725.06666663,162.72,90,0.7,488668826.6666667,488668826.6666667,97733765.33333334,21.0,0,7,193777750.0,1594813318.5000014,2020-11-30,SOUTH AFRICA,HIGH,239447725.06666663,1.1365060160430023,14.0,True,2020-11-30
SANLAM (SOUTH AFRICA),228424861.46666664,55.45,90,0.7,466173186.6666667,466173186.6666667,93234637.33333334,21.0,0,7,328289200.0,1451723550.0000005,2020-11-30,SOUTH AFRICA,HIGH,228424861.46666664,1.0841874951970283,15.0,True,2020-11-30
ABSA (SOUTH AFRICA),227552798.66666666,110.2,90,0.7,464393466.6666667,464393466.6666667,92878693.33333334,21.0,0,7,359622900.0,1784096935.0000005,2020-11-30,SOUTH AFRICA,HIGH,227552798.66666666,1.0800483678852473,16.0,True,2020-11-30
DANGOTE CEMENT NIGERIA (NIGERIA),211057901.46676663,205.0,90,0.7,430730411.15666664,430730411.15666664,86146082.23133333,21.0,0,6,84399199.8,2579854404.3434916,2020-11-30,NIGERIA,MID,211057901.46676663,5.0,17.0,True,2020-11-30
BLUE LABEL TELECOMS (SOUTH AFRICA),205065867.29999998,395.0,90,0.7,418501770.0,418501770.0,83700354.0,21.0,0,7,1026279000.0,11776408400.000008,2020-11-30,SOUTH AFRICA,HIGH,205065867.29999998,0.9733172107049176,18.0,True,2020-11-30
BRITISH AMERICAN TOBACCO (SOUTH AFRICA),203397830.73586664,544.56,90,0.7,415097613.74666667,415097613.74666667,83019522.74933334,21.0,0,7,473637704.75,2288371451.5,2020-11-30,SOUTH AFRICA,HIGH,203397830.73586664,0.9654001023273397,19.0,True,2020-11-30
MTN GROUP (SOUTH AFRICA),189265226.0333333,66.24,90,0.7,386255563.3333333,386255563.3333333,77251112.66666667,21.0,0,7,545613300.0,2703182737.500002,2020-11-30,SOUTH AFRICA,HIGH,189265226.0333333,0.8983216188616278,20.0,True,2020-11-30
MTN NIGERIA (NIGERIA),189101561.23786664,155.2,90,0.7,385921553.5466667,385921553.5466667,77184310.70933335,21.0,0,2,160721253.8,6860285432.057281,2020-11-30,NIGERIA,MID,189101561.23786664,5.0,21.0,True,2020-11-30
FIRST HOLDCO NIGERIA (NIGERIA),172932363.71985,7.2,90,0.7,352923191.26500005,352923191.26500005,70584638.253,21.0,0,6,93419484.45,1174098593.0559916,2020-11-30,NIGERIA,MID,172932363.71985,5.0,22.0,True,2020-11-30
BID CORP (SOUTH AFRICA),163843154.3233333,279.36,90,0.7,334373784.3333333,334373784.3333333,66874756.86666667,21.0,0,6,233861775.0,1093711197.999996,2020-11-30,SOUTH AFRICA,HIGH,163843154.3233333,0.7776592177857876,23.0,True,2020-11-30
BID CORPORATION (SOUTH AFRICA),163843154.3233333,279.36,90,0.7,334373784.3333333,334373784.3333333,66874756.86666667,21.0,0,6,233861775.0,1093711197.999996,2020-11-30,SOUTH AFRICA,HIGH,163843154.3233333,0.7776592177857876,24.0,True,2020-11-30
GRINDROD (SOUTH AFRICA),154257893.8833333,398.0,90,0.7,314812028.3333333,314812028.3333333,62962405.666666664,21.0,0,7,386463315.0,4001535750.000001,2020-11-30,SOUTH AFRICA,HIGH,154257893.8833333,0.7321640845479755,25.0,True,2020-11-30
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),153641014.394,8.3,90,0.7,313553090.6,313553090.6,62710618.120000005,21.0,0,6,100237339.9,1366210913.0974486,2020-11-30,NIGERIA,MID,153641014.394,5.0,26.0,True,2020-11-30
NORTHAM PLATINUM HOLDINGS (SOUTH AFRICA),123649840.59539998,176.24,90,0.7,252346613.45999998,252346613.45999998,50469322.692,21.0,0,7,44382188.4,592141805.0000004,2020-11-30,SOUTH AFRICA,HIGH,123649840.59539998,0.5868871282043064,27.0,True,2020-11-30
SHOPRITE HOLDINGS (SOUTH AFRICA),120406854.51479997,127.77,90,0.7,245728274.51999998,245728274.51999998,49145654.904,21.0,0,7,280295400.0,1608072503.0000005,2020-11-30,SOUTH AFRICA,HIGH,120406854.51479997,0.5714947364431424,28.0,True,2020-11-30
MR PRICE (SOUTH AFRICA),117367934.90893333,162.73,90,0.7,239526397.77333334,239526397.77333334,47905279.55466667,21.0,0,7,231187200.0,1140139953.000001,2020-11-30,SOUTH AFRICA,HIGH,117367934.90893333,0.5570709184119756,29.0,True,2020-11-30
BIDVEST (SOUTH AFRICA),115557224.50743331,163.15,90,0.7,235831070.42333332,235831070.42333332,47166214.08466667,21.0,0,7,195064639.25,904053500.0000005,2020-11-30,SOUTH AFRICA,HIGH,115557224.50743331,0.5484766280964445,30.0,True,2020-11-30
CLICKS (SOUTH AFRICA),112452337.26323332,234.78,90,0.7,229494565.84333333,229494565.84333333,45898913.16866667,21.0,0,7,143461957.5,859776560.5,2020-11-30,SOUTH AFRICA,HIGH,112452337.26323332,0.5337397036542264,31.0,True,2020-11-30
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),112429709.93543333,239.84,90,0.7,229448387.62333336,229448387.62333336,45889677.524666674,21.0,0,7,71006884.69999999,402136010.0000001,2020-11-30,SOUTH AFRICA,HIGH,112429709.93543333,0.5336323061244963,32.0,True,2020-11-30
HARMONY GOLD MINING COMPANY (SOUTH AFRICA),109582340.69999999,63.27,90,0.7,223637430.0,223637430.0,44727486.0,21.0,0,7,66923250.0,847292739.0000001,2020-11-30,SOUTH AFRICA,HIGH,109582340.69999999,0.5201176558388659,33.0,True,2020-11-30
VODACOM (SOUTH AFRICA),108624649.95246664,123.23,90,0.7,221682959.08666664,221682959.08666664,44336591.81733333,21.0,0,7,223173250.0,1348529431.5000017,2020-11-30,SOUTH AFRICA,HIGH,108624649.95246664,0.5155721071360027,34.0,True,2020-11-30
LAFARGE AFRICA NIGERIA (NIGERIA),105831633.58192024,23.0,90,0.7,215982925.67738828,215982925.67738828,43196585.13547766,21.0,0,6,25018152.15,613741775.8216481,2020-11-30,NIGERIA,MID,105831633.58192024,5.0,35.0,True,2020-11-30
GROWTHPOINT PROPERTIES (SOUTH AFRICA),103190756.73083332,11.87,90,0.7,210593381.08333334,210593381.08333334,42118676.21666667,21.0,0,7,162150450.0,784164532.5000001,2020-11-30,SOUTH AFRICA,HIGH,103190756.73083332,0.4897808730150598,36.0,True,2020-11-30
SAFARICOM KENYA (KENYA),98921573.13499999,32.7,90,0.7,201880761.5,201880761.5,40376152.300000004,21.0,0,6,184159630.0,1243669856.2499995,2020-11-30,KENYA,MID,98921573.13499999,5.0,37.0,True,2020-11-30
SONATEL SENEGAL (SENEGAL),95667638.95499998,11200.0,90,0.7,195240079.5,195240079.5,39048015.9,21.0,0,6,83716500.0,2337541012.5,2020-11-30,SENEGAL,LOW,95667638.95499998,5.0,38.0,True,2020-11-30
DANGOTE SUGAR REFINERY NIGERIA (NIGERIA),92154637.22289999,19.7,90,0.7,188070688.21,188070688.21,37614137.642000005,21.0,0,12,8979310.4,448965520.0,2020-11-30,NIGERIA,MID,92154637.22289999,5.0,39.0,True,2020-11-30
OLD MUTUAL (SOUTH AFRICA),90590909.26666665,10.0,90,0.7,184879406.66666666,184879406.66666666,36975881.333333336,21.0,0,7,177943100.0,941101043.9999961,2020-11-30,SOUTH AFRICA,HIGH,90590909.26666665,0.42997741303120446,40.0,True,2020-11-30
ASPEN PHARMACARE HOLDINGS (SOUTH AFRICA),87707242.41229999,123.48,90,0.7,178994372.27,178994372.27,35798874.454,21.0,0,7,241524990.95,1677975809.5000012,2020-11-30,SOUTH AFRICA,HIGH,87707242.41229999,0.4162904810407709,41.0,True,2020-11-30
NESTLÉ NIGERIA (NIGERIA),87171215.68656667,1400.0,90,0.7,177900440.17666668,177900440.17666668,35580088.035333335,21.0,0,6,92581160.0,2313107152.7039976,2020-11-30,NIGERIA,MID,87171215.68656667,5.0,42.0,True,2020-11-30
DISCOVERY HOLDINGS (SOUTH AFRICA),80576242.09926666,123.2,90,0.7,164441310.40666667,164441310.40666667,32888262.081333335,21.0,0,7,176223550.0,768844254.5000001,2020-11-30,SOUTH AFRICA,HIGH,80576242.09926666,0.38244415924376696,43.0,True,2020-11-30
SPAR (SOUTH AFRICA),77381117.27826665,190.93,90,0.7,157920647.50666666,157920647.50666666,31584129.501333334,21.0,0,7,117093115.5,561931951.5000001,2020-11-30,SOUTH AFRICA,HIGH,77381117.27826665,0.36727893443294946,44.0,True,2020-11-30
STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),74622114.58974999,42.35,90,0.7,152290029.775,152290029.775,30458005.955000002,21.0,0,13,13131653.0,656582650.0,2020-11-30,NIGERIA,MID,74622114.58974999,5.0,45.0,True,2020-11-30
MONDI (SOUTH AFRICA),74238372.39396666,343.37,90,0.7,151506882.43666667,151506882.43666667,30301376.487333335,21.0,0,7,168291968.0,754569855.0,2020-11-30,SOUTH AFRICA,HIGH,74238372.39396666,0.3523623238579236,46.0,True,2020-11-30
TIGER BRANDS (SOUTH AFRICA),72941932.45686665,195.77,90,0.7,148861086.64666665,148861086.64666665,29772217.32933333,21.0,0,7,174346304.0,754716528.0,2020-11-30,SOUTH AFRICA,HIGH,72941932.45686665,0.3462089482618834,47.0,True,2020-11-30
WOOLWORTHS HOLDINGS (SOUTH AFRICA),71929907.69999999,34.99,90,0.7,146795730.0,146795730.0,29359146.0,21.0,0,7,224312150.0,1336570239.0000005,2020-11-30,SOUTH AFRICA,HIGH,71929907.69999999,0.3414055105836044,48.0,True,2020-11-30
KUMBA IRON ORE (SOUTH AFRICA),71826171.52806666,527.01,90,0.7,146584023.52666667,146584023.52666667,29316804.705333337,21.0,0,7,122538298.70000002,470547992.00000024,2020-11-30,SOUTH AFRICA,HIGH,71826171.52806666,0.3409131409716122,49.0,True,2020-11-30
COMMERCIAL INTERNATIONAL BANK EGYPT (EGYPT),68353896.3579185,62.22,90,0.7333333333333333,127104352.73166665,127104352.73166665,25420870.54633333,22.0,0,6,78731891.0,687967888.4245989,2020-11-30,EGYPT,MID,68353896.3579185,5.0,50.0,True,2020-11-30
FOSCHINI (SOUTH AFRICA),68008285.63666666,98.2,90,0.7,138792419.66666666,138792419.66666666,27758483.933333334,21.0,0,7,183739400.0,809053112.0000006,2020-11-30,SOUTH AFRICA,HIGH,68008285.63666666,0.32279206555553236,51.0,True,2020-11-30
REMGRO (SOUTH AFRICA),65988885.20536666,90.36,90,0.7,134671194.29666668,134671194.29666668,26934238.859333336,21.0,0,7,163699950.0,861443690.5000001,2020-11-30,SOUTH AFRICA,HIGH,65988885.20536666,0.313207256435574,52.0,True,2020-11-30
LIFE HEALTHCARE (SOUTH AFRICA),60756852.827999994,10.28,90,0.7,123993577.2,123993577.2,24798715.44,21.0,0,7,66672600.0,375577608.0000001,2020-11-30,SOUTH AFRICA,HIGH,60756852.827999994,0.2883741273200084,53.0,True,2020-11-30
EXXARO RESOURCES (SOUTH AFRICA),59882775.93853333,115.63,90,0.7,122209746.81333333,122209746.81333333,24441949.362666667,21.0,0,7,114566100.0,716436604.0000006,2020-11-30,SOUTH AFRICA,HIGH,59882775.93853333,0.2842254404068776,54.0,True,2020-11-30
TRUWORTHS INT (SOUTH AFRICA),55508610.419266656,35.93,90,0.7,113282878.40666667,113282878.40666667,22656575.681333333,21.0,0,7,165556200.0,764815375.5,2020-11-30,SOUTH AFRICA,HIGH,55508610.419266656,0.2634640594982457,55.0,True,2020-11-30
NIGERIAN BREWERIES (NIGERIA),52482606.08558333,60.25,90,0.7,107107359.35833333,107107359.35833333,21421471.87166667,21.0,0,6,94221645.18,3085358228.388724,2020-11-30,NIGERIA,MID,52482606.08558333,4.9867260893873535,56.0,True,2020-11-30
REINET INVEST (SOUTH AFRICA),42027465.06466666,275.83,90,0.7,85770336.86666666,85770336.86666666,17154067.37333333,21.0,0,7,152033183.4,3885014210.000003,2020-11-30,SOUTH AFRICA,HIGH,42027465.06466666,0.19947763910361754,57.0,True,2020-11-30
EQUITY GROUP HOLDINGS KENYA (KENYA),40642851.30499999,34.6,90,0.7,82944594.5,82944594.5,16588918.9,21.0,0,6,62377127.5,775573486.8749986,2020-11-30,KENYA,MID,40642851.30499999,3.8617511984681707,58.0,True,2020-11-30
AVI (SOUTH AFRICA),40513539.02283333,68.73,90,0.7,82680691.88333334,82680691.88333334,16536138.376666669,21.0,0,7,72183479.94999999,360570210.00000006,2020-11-30,SOUTH AFRICA,HIGH,40513539.02283333,0.19229199533143845,59.0,True,2020-11-30
GLENCORE (SOUTH AFRICA),38100792.67423333,42.38,90,0.7,77756719.74333334,77756719.74333334,15551343.94866667,21.0,0,7,95753400.0,698623861.0000004,2020-11-30,SOUTH AFRICA,HIGH,38100792.67423333,0.1808402233857821,60.0,True,2020-11-30
QUILTER (SOUTH AFRICA),37391463.9,28.03,90,0.7,76309110.0,76309110.0,15261822.0,21.0,0,4,60260700.0,385619541.00000244,2020-11-30,SOUTH AFRICA,HIGH,37391463.9,0.1774734909641475,61.0,True,2020-11-30
INVESTEC (SOUTH AFRICA),35811001.23673333,35.92,90,0.7,73083675.99333334,73083675.99333334,14616735.19866667,21.0,0,7,80223400.0,458328945.50000006,2020-11-30,SOUTH AFRICA,HIGH,35811001.23673333,0.16997204018012432,62.0,True,2020-11-30
KCB GROUP KENYA (KENYA),35498771.99458332,37.0,90,0.7,72446473.45833333,72446473.45833333,14489294.691666666,21.0,0,6,53131900.0,515624003.75,2020-11-30,KENYA,MID,35498771.99458332,3.372977556753397,63.0,True,2020-11-30
BUA CEMENT NIGERIA (NIGERIA),30819358.18803333,55.0,90,0.7,62896649.36333334,62896649.36333334,12579329.872666668,21.0,0,2,10525398.85,526269942.5,2020-11-30,NIGERIA,MID,30819358.18803333,2.928354915985331,64.0,True,2020-11-30
CRDB BANK PLC TANZANIA (TANZANIA),30484110.544999994,185.0,90,0.7,62212470.5,62212470.5,12442494.100000001,21.0,0,48,7415700.0,370785000.0,2020-11-30,TANZANIA,LOW,30484110.544999994,5.0,65.0,True,2020-11-30
FIDELITY BANK NIGERIA (NIGERIA),30138133.778339997,2.6,90,0.7,61506395.466,61506395.466,12301279.0932,21.0,0,6,14238754.690000001,252669694.57894942,2020-11-30,NIGERIA,MID,30138133.778339997,2.8636271939852906,66.0,True,2020-11-30
GUINNESS NIGERIA (NIGERIA),26755893.16073333,18.9,90,0.7,54603863.593333334,54603863.593333334,10920772.718666667,21.0,0,6,12607289.7,552455380.5099993,2020-11-30,NIGERIA,MID,26755893.16073333,2.542257719670298,67.0,True,2020-11-30
EAST AFRICAN BREWERIES KENYA (KENYA),21346063.549999997,153.0,90,0.7,43563395.0,43563395.0,8712679.0,21.0,0,6,28080250.0,484037370.4999984,2020-11-30,KENYA,MID,21346063.549999997,2.0282333510062833,68.0,True,2020-11-30
TRANSCORP PLC NIGERIA (NIGERIA),21010870.628043327,1.0,90,0.7,42879327.81233333,42879327.81233333,8575865.562466666,21.0,0,6,10623592.24225,416775893.4956971,2020-11-30,NIGERIA,MID,21010870.628043327,1.9963844125946966,69.0,True,2020-11-30
CHOPPIES ENTERPRISES LIMITED (SOUTH AFRICA),19907176.800000004,68.0,90,0.4,124419855.0,124419855.0,24883971.0,12.0,0,18,17067020.0,853351000.0,2020-11-30,SOUTH AFRICA,HIGH,19907176.800000004,0.09448670347288778,70.0,True,2020-11-30
CORONATION (NAMIBIA),19303186.578433335,42.2,90,0.7,39394258.32333334,39394258.32333334,7878851.664666668,21.0,0,7,44063601.15,289947097.50000006,2020-11-30,NAMIBIA,LOW,19303186.578433335,5.0,71.0,True,2020-11-30
EL SEWEDY ELECTRIC (EGYPT),16253853.098315554,9.11,90,0.7333333333333333,30224107.001000002,30224107.001000002,6044821.400200001,22.0,0,6,17745066.720000003,206015852.37520033,2020-11-30,EGYPT,MID,16253853.098315554,1.5443881191087534,72.0,True,2020-11-30
EASTERN TOBACCO EGYPT (EGYPT),15083316.324234072,10.78,90,0.7333333333333333,28047489.03266667,28047489.03266667,5609497.806533334,22.0,0,6,12768652.14,250358105.98499516,2020-11-30,EGYPT,MID,15083316.324234072,1.43316753184636,73.0,True,2020-11-30
OUTSURANCE (SOUTH AFRICA),15022435.25533333,16.47,90,0.7,30658031.133333333,30658031.133333333,6131606.226666667,21.0,0,7,28533400.0,142434758.00000006,2020-11-30,SOUTH AFRICA,HIGH,15022435.25533333,0.07130194299632357,74.0,True,2020-11-30
SANTAM (SOUTH AFRICA),15022262.693062333,224.47,90,0.7,30657678.965433337,30657678.965433337,6131535.793086668,21.0,0,7,10535213.65,60146801.831500016,2020-11-30,SOUTH AFRICA,HIGH,15022262.693062333,0.07130112395300597,75.0,True,2020-11-30
FAWRY EGYPT (EGYPT),14735999.34020296,30.38,90,0.7333333333333333,27401651.665666666,27401651.665666666,5480330.333133333,22.0,0,2,4424516.48,134453285.56800085,2020-11-30,EGYPT,MID,14735999.34020296,1.400166604591891,76.0,True,2020-11-30
PRESCO PLC NIGERIA (NIGERIA),14457815.52203333,71.8,90,0.7,29505745.96333333,29505745.96333333,5901149.192666667,21.0,0,50,2307409.65,115370482.5,2020-11-30,NIGERIA,MID,14457815.52203333,1.3737344853207991,77.0,True,2020-11-30
FCMB GROUP NIGERIA (NIGERIA),13599263.80710333,3.33,90,0.7,27753599.60633333,27753599.60633333,5550719.921266667,21.0,0,6,12306225.8,488353952.9643998,2020-11-30,NIGERIA,MID,13599263.80710333,1.2921577010249112,78.0,True,2020-11-30
EFG HOLDING EGYPT (EGYPT),12495875.195564441,13.83,90,0.7333333333333333,23236131.562,23236131.562,4647226.3124,22.0,0,6,28057879.6,369981907.8875,2020-11-30,EGYPT,MID,12495875.195564441,1.1873173132034438,79.0,True,2020-11-30
STERLING FINANCIAL HOLDINGS NIGERIA (NIGERIA),12094048.669709997,1.94,90,0.7,24681731.979,24681731.979,4936346.3958,21.0,0,11,4503497.6,225174879.99999997,2020-11-30,NIGERIA,MID,12094048.669709997,1.1491370670354344,80.0,True,2020-11-30
DIS-CHEM PHARMACIES (SOUTH AFRICA),11868545.157699998,20.1,90,0.7,24221520.73,24221520.73,4844304.146000001,21.0,0,6,22730195.299999997,219483550.00000015,2020-11-30,SOUTH AFRICA,HIGH,11868545.157699998,0.05633243318410562,81.0,True,2020-11-30
