Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,TradeCount30,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
BLUE LABEL TELECOMS (SOUTH AFRICA),1650148819.6844442,1635.0,90,0.7333333333333333,3068458549.0,22.0,2025-07-31,SOUTH AFRICA,HIGH,1650148819.6844442,5.0,1.0,True,2025-07-31
NASPERS (SOUTH AFRICA),1014033846.7925924,1129.08,90,0.7333333333333333,1885600128.3333333,22.0,2025-07-31,SOUTH AFRICA,HIGH,1014033846.7925924,3.8656250101471907,2.0,True,2025-07-31
GRINDROD (SOUTH AFRICA),957450476.9165883,1160.0,90,0.7333333333333333,1780383118.2333257,22.0,2025-07-31,SOUTH AFRICA,HIGH,957450476.9165883,3.6499220625158686,3.0,True,2025-07-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),704110089.4155555,100.5,90,0.6666666666666666,1584247701.185,20.0,2025-07-31,NIGERIA,MID,704110089.4155555,5.0,4.0,True,2025-07-31
ZENITH BANK NIGERIA (NIGERIA),589431511.0734444,76.5,90,0.6666666666666666,1326220899.9152498,20.0,2025-07-31,NIGERIA,MID,589431511.0734444,5.0,5.0,True,2025-07-31
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),505511017.31633246,49.6,90,0.6666666666666666,1137399788.9617481,20.0,2025-07-31,NIGERIA,MID,505511017.31633246,5.0,6.0,True,2025-07-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),493532395.8518963,825.21,90,0.7333333333333333,917725529.4766668,22.0,2025-07-31,SOUTH AFRICA,HIGH,493532395.8518963,1.881407784126137,7.0,True,2025-07-31
PPC (SOUTH AFRICA),493126643.15851843,511.0,90,0.7333333333333333,916971030.6666666,22.0,2025-07-31,SOUTH AFRICA,HIGH,493126643.15851843,1.8798610036469476,8.0,True,2025-07-31
SIBANYE STILLWATER (SOUTH AFRICA),456749408.9481481,38.37,90,0.7333333333333333,849327413.3333334,22.0,2025-07-31,SOUTH AFRICA,HIGH,456749408.9481481,1.7411863954882796,9.0,True,2025-07-31
MTN NIGERIA (NIGERIA),446472375.6414814,472.0,90,0.6666666666666666,1004562845.1933333,20.0,2025-07-31,NIGERIA,MID,446472375.6414814,5.0,10.0,True,2025-07-31
ARADEL HOLDINGS NIGERIA (NIGERIA),440851986.62518513,530.0,90,0.6666666666666666,991916969.9066666,20.0,2025-07-31,NIGERIA,MID,440851986.62518513,5.0,11.0,True,2025-07-31
