Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),2718066074.0740743,499.0,90,0.6666666666666666,6115648666.666667,6115648666.666667,1223129733.3333335,20.0,0,11,7789350000.0,48818860200.0,2024-09-30,SOUTH AFRICA,HIGH,2718066074.0740743,5.0,1.0,True,2024-09-30
GRINDROD (SOUTH AFRICA),955111502.9629629,1510.0,90,0.6666666666666666,2149000881.6666665,2149000881.6666665,429800176.3333333,20.0,0,11,459233175.0,5612775350.000002,2024-09-30,SOUTH AFRICA,HIGH,955111502.9629629,4.632483166660518,2.0,True,2024-09-30
NASPERS (SOUTH AFRICA),743625780.6118518,838.98,90,0.6666666666666666,1673158006.3766668,1673158006.3766668,334631601.2753334,20.0,0,11,1951440750.0,10034869721.000025,2024-09-30,SOUTH AFRICA,HIGH,743625780.6118518,3.606734816084373,3.0,True,2024-09-30
FIRSTRAND (SOUTH AFRICA),487800062.2222222,83.06,90,0.6666666666666666,1097550140.0,1097550140.0,219510028.0,20.0,0,11,616466400.0,2868622600.0000024,2024-09-30,SOUTH AFRICA,HIGH,487800062.2222222,2.3659285538183124,4.0,True,2024-09-30
PPC (SOUTH AFRICA),379463609.037037,391.0,90,0.6666666666666666,853793120.3333334,853793120.3333334,170758624.0666667,20.0,0,11,909860000.0,11611929400.000023,2024-09-30,SOUTH AFRICA,HIGH,379463609.037037,1.8404749348856788,5.0,True,2024-09-30
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),353921491.3059259,48.0,90,0.6666666666666666,796323355.4383334,796323355.4383334,159264671.0876667,20.0,0,11,422486448.0,4344327182.159946,2024-09-30,NIGERIA,MID,353921491.3059259,5.0,6.0,True,2024-09-30
ZENITH BANK NIGERIA (NIGERIA),345959859.07928866,37.75,90,0.6666666666666666,778409682.9283996,778409682.9283996,155681936.58567992,20.0,0,11,375776092.0,4729234583.051987,2024-09-30,NIGERIA,MID,345959859.07928866,5.0,7.0,True,2024-09-30
STANDARD BANK GROUP (SOUTH AFRICA),345556930.35555553,242.35,90,0.6666666666666666,777503093.3,777503093.3,155500618.66,20.0,0,11,528972700.0,2165688599.0000005,2024-09-30,SOUTH AFRICA,HIGH,345556930.35555553,1.6760207138423155,8.0,True,2024-09-30
CAPITEC BANK (SOUTH AFRICA),328049344.79854816,3044.51,90,0.6666666666666666,738111025.7967334,738111025.7967334,147622205.15934667,20.0,0,11,286407420.9,1731345280.9020002,2024-09-30,SOUTH AFRICA,HIGH,328049344.79854816,1.5911053975362042,9.0,True,2024-09-30
GOLD FIELDS (SOUTH AFRICA),317896111.5703704,268.83,90,0.6666666666666666,715266251.0333334,715266251.0333334,143053250.20666668,20.0,0,11,273145250.0,1935739431.0000029,2024-09-30,SOUTH AFRICA,HIGH,317896111.5703704,1.5418601713287927,10.0,True,2024-09-30
ANGLO AMERICAN (SOUTH AFRICA),311233940.52444446,559.16,90,0.6666666666666666,700276366.1800001,700276366.1800001,140055273.23600003,20.0,0,11,575040650.0,2978743999.000001,2024-09-30,SOUTH AFRICA,HIGH,311233940.52444446,1.50954729987041,11.0,True,2024-09-30
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),308937898.1022222,458.99,90,0.6666666666666666,695110270.73,695110270.73,139022054.146,20.0,0,11,362280150.0,1773146050.0000007,2024-09-30,SOUTH AFRICA,HIGH,308937898.1022222,1.4984110316568175,12.0,True,2024-09-30
