Company,Liquidity Score,Price,Trading Days (90d),Participation,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,Country,Regime,RawLiquidity,NormLiquidity,Rank,Selected,RebalanceDate
REDEFINE PROPERTIES (SOUTH AFRICA),2028959555.5555553,418.0,90,0.6666666666666666,4565159000.0,4565159000.0,913031800.0,20.0,0,12,7567560000.0,47892049400.00006,2025-03-31,SOUTH AFRICA,HIGH,2028959555.5555553,5.0,1.0,True,2025-03-31
NASPERS (SOUTH AFRICA),1243140324.3851855,903.6,90,0.6666666666666666,2797065729.8666677,2797065729.8666677,559413145.9733336,20.0,0,12,1929106000.0,10292218196.000025,2025-03-31,SOUTH AFRICA,HIGH,1243140324.3851855,5.0,2.0,True,2025-03-31
GRINDROD (SOUTH AFRICA),767342526.2222222,1219.0,90,0.6666666666666666,1726520684.0,1726520684.0,345304136.8,20.0,0,12,485203680.0,5696312600.000001,2025-03-31,SOUTH AFRICA,HIGH,767342526.2222222,3.225388729480102,3.0,True,2025-03-31
PPC (SOUTH AFRICA),629582360.5925925,460.0,90,0.6666666666666666,1416560311.3333333,1416560311.3333333,283312062.26666665,20.0,0,12,888030000.0,11429664800.00001,2025-03-31,SOUTH AFRICA,HIGH,629582360.5925925,2.64633821369461,4.0,True,2025-03-31
ZENITH BANK NIGERIA (NIGERIA),606774524.1837331,47.0,90,0.6666666666666666,1365242679.4133995,1365242679.4133995,273048535.8826799,20.0,0,12,397214728.70000005,4751793253.601987,2025-03-31,NIGERIA,MID,606774524.1837331,5.0,5.0,True,2025-03-31
PROSUS (SOUTH AFRICA),478334453.89037037,841.6,90,0.6666666666666666,1076252521.2533333,1076252521.2533333,215250504.25066668,20.0,0,7,803090400.0,4637326700.999972,2025-03-31,SOUTH AFRICA,HIGH,478334453.89037037,2.0105943614197934,6.0,True,2025-03-31
FIRSTRAND (SOUTH AFRICA),466012321.4814815,71.84,90,0.6666666666666666,1048527723.3333334,1048527723.3333334,209705544.6666667,20.0,0,12,626766600.0,2927199400.0,2025-03-31,SOUTH AFRICA,HIGH,466012321.4814815,1.958800455000378,7.0,True,2025-03-31
BLUE LABEL TELECOMS (SOUTH AFRICA),455561298.51851845,758.0,90,0.6666666666666666,1025012921.6666666,1025012921.6666666,205002584.33333334,20.0,0,12,561620400.0,9964296000.000002,2025-03-31,SOUTH AFRICA,HIGH,455561298.51851845,1.9148714265360847,8.0,True,2025-03-31
GOLD FIELDS (SOUTH AFRICA),405634665.4222222,405.42,90,0.6666666666666666,912677997.2,912677997.2,182535599.44000003,20.0,0,12,297087100.0,1990562316.0000012,2025-03-31,SOUTH AFRICA,HIGH,405634665.4222222,1.7050136457058234,9.0,True,2025-03-31
ANGLOGOLD ASHANTI ADR (SOUTH AFRICA),399012495.50370365,686.82,90,0.6666666666666666,897778114.8833333,897778114.8833333,179555622.9766667,20.0,0,12,376260353.09999996,1805568540.000001,2025-03-31,SOUTH AFRICA,HIGH,399012495.50370365,1.6771785245050645,10.0,True,2025-03-31
STANDARD BANK GROUP (SOUTH AFRICA),381253614.69629633,239.41,90,0.6666666666666666,857820633.0666668,857820633.0666668,171564126.61333337,20.0,0,12,531696000.0,2212266492.000003,2025-03-31,SOUTH AFRICA,HIGH,381253614.69629633,1.6025322067955676,11.0,True,2025-03-31
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),360309804.48533255,68.8,90,0.6666666666666666,810697060.0919982,810697060.0919982,162139412.01839966,20.0,0,12,426329119.025,4429615088.159946,2025-03-31,NIGERIA,MID,360309804.48533255,5.0,12.0,True,2025-03-31
CAPITEC BANK (SOUTH AFRICA),331049753.12871116,3102.66,90,0.6666666666666666,744861944.5396001,744861944.5396001,148972388.90792003,20.0,0,12,300527756.09999996,1764375573.8880002,2025-03-31,SOUTH AFRICA,HIGH,331049753.12871116,1.391509145068927,13.0,True,2025-03-31
MTN GROUP (SOUTH AFRICA),265366823.7037037,123.23,90,0.6666666666666666,597075353.3333334,597075353.3333334,119415070.66666669,20.0,0,12,510071700.0,2522316150.0000005,2025-03-31,SOUTH AFRICA,HIGH,265366823.7037037,1.1154225565546037,14.0,True,2025-03-31
