Company,CoveragePct,FirstValidDate,LastValidDate,LargeGapCount,MaxGapDays,LatestAvgDailyUSDLiquidity,MeanAvgDailyUSDLiquidity,LiquidityTier,LatestRank,AM100,AM200,AM300,Status,Reason
FOSCHINI (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,167975859.1591954,199791531.72559217,AM100-scale,88.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
REMGRO (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,163655531.81839082,173875575.53748533,AM100-scale,62.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
KUMBA IRON ORE (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,162811190.74425286,152173937.30390033,AM100-scale,80.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
MONDI (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,162324206.7908046,196830996.20250005,AM100-scale,63.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
BELTONE HOLDING EGYPT (EGYPT),0.6424939791276425,2016-01-06,2026-12-03,12,61,160861127.59029764,56189617.81058138,AM100-scale,92.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
CUSTODIAN INVESTMENT NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,159031356.53735295,18504853.265660528,AM100-scale,99.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
STERLING FINANCIAL HOLDINGS NIGERIA (NIGERIA),0.6601552047096602,2016-01-04,2026-12-03,12,31,150457887.4714706,33731299.4615549,AM100-scale,85.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
BUA FOODS NIGERIA (NIGERIA),0.2785656944072786,2022-01-02,2026-12-03,9,31,147527372.18058825,126045265.21762337,AM100-scale,79.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
NICO HOLDINGS MALAWI (MALAWI),0.6398180358576399,2016-01-09,2026-12-03,18,31,146184209.31041178,23729513.25726822,AM100-scale,89.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
TIGER BRANDS (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,141801623.15632182,146600644.5734587,AM100-scale,77.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
FAWRY EGYPT (EGYPT),0.42734814021942735,2019-01-09,2026-12-03,18,61,139300940.94380954,55936362.89601086,AM100-scale,36.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
FDH BANK MALAWI (MALAWI),0.3746320578003746,2020-01-09,2026-12-03,17,31,135767113.48429412,55666658.51699046,AM100-scale,95.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
GUINNESS NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,134808400.31882355,45654478.17440377,AM100-scale,91.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),0.6438319507626439,2016-01-06,2026-12-03,12,61,133447317.7585119,32861959.110258747,AM100-scale,86.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
EQUITY GROUP HOLDINGS KENYA (KENYA),0.6644367139416645,2016-01-04,2026-12-03,12,31,131185316.87941177,83457463.4040612,AM100-scale,73.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
STANBIC BANK UGANDA (UGANDA),0.6550709124966551,2016-01-07,2026-12-03,13,31,130719319.9834524,63693656.03221556,AM100-scale,87.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
INVESTEC (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,127599752.51206897,106427784.76978882,AM100-scale,81.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
KCB GROUP KENYA (KENYA),0.6641691196146642,2016-01-04,2026-12-03,12,31,127183901.53911765,65188917.75740585,AM100-scale,82.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
NATIONAL BANK OF MALAWI (MALAWI),0.6427615734546428,2016-01-08,2026-12-03,17,31,122940094.30358826,45846636.40433211,AM100-scale,96.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
TRUWORTHS INT (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,121236569.77988507,153483953.33976048,AM100-scale,83.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
EXXARO RESOURCES (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,117065733.5816092,141479295.21010336,AM100-scale,75.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),0.6438319507626439,2016-01-06,2026-12-03,12,61,115513027.05291669,47079774.36071132,AM100-scale,100.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
AFRICAN RAINBOW MINERALS (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,109333743.02816093,97187957.22455026,AM100-scale,84.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
UNILEVER NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,106584091.7797059,30946143.600007337,AM100-scale,97.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
ABU QIR FERTILIZERS EGYPT (EGYPT),0.6438319507626439,2016-01-06,2026-12-03,12,61,90097757.57119048,32454141.11840932,AM100-scale,5.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
TANZANIA PORTLAND CEMENT (TANZANIA),0.6582820444206583,2016-01-04,2026-12-03,12,31,85781978.42105263,34350693.06183765,AM100-scale,98.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
EGYPT ALUMINIUM (EGYPT),0.6435643564356436,2016-01-06,2026-12-03,12,61,69529382.52761905,28374694.47128225,AM100-scale,94.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
RAYA HOLDING EGYPT (EGYPT),0.6438319507626439,2016-01-06,2026-12-03,12,61,68079234.55327381,10526600.438439103,AM100-scale,4.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
EASTERN TOBACCO EGYPT (EGYPT),0.643029167781643,2016-01-06,2026-12-03,12,61,64640833.831011906,38588519.2942153,AM100-scale,14.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
ALEXANDRIA MINERAL OILS EGYPT (EGYPT),0.6438319507626439,2016-01-06,2026-12-03,12,61,59330890.115535714,19486092.77833014,AM100-scale,39.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
BANK OF AFRICA SENEGAL (SENEGAL),0.6622959593256623,2016-01-04,2026-12-03,12,31,31905929.941860463,8916413.574149137,AM100-scale,33.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
CUTIX PLC NIGERIA (NIGERIA),0.6601552047096602,2016-01-04,2026-12-03,12,31,29090767.248470586,5233192.57890607,AM100-scale,68.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
BANK OF AFRICA NIGER (NIGER),0.6622959593256623,2016-01-04,2026-12-03,12,31,13732710.319767442,16128136.631909888,AM100-scale,70.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
TOTALENERGIES MARKETING SENEGAL (SENEGAL),0.6622959593256623,2016-01-04,2026-12-03,12,31,7378060.377906977,6615737.408717454,AM100-scale,93.0,True,False,True,Included AM100,coverage_below_95pct; starts_after_2016; large_data_gaps
GEREGU POWER NIGERIA (NIGERIA),0.22825796093122827,2022-01-11,2026-12-03,18,31,493179080.3264706,347355398.0773006,AM100-scale,168.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
WEMA BANK NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,323569018.74147063,29561439.233907975,AM100-scale,115.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
TRANSCORP PLC NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,175757775.43676472,89141535.78107294,AM100-scale,117.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
TANGA CEMENT TANZANIA (TANZANIA),0.6465078940326465,2016-01-04,2026-12-03,14,31,160456145.55555555,47722060.78367563,AM100-scale,102.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
FMB CAPITAL HOLDINGS MALAWI (MALAWI),0.5643564356435643,2017-01-11,2026-12-03,19,31,154696703.37835294,30363770.06789292,AM100-scale,147.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
JAIZ BANK NIGERIA (NIGERIA),0.6028900187316029,2017-01-03,2026-12-03,10,31,110227693.38858825,13916001.760333885,AM100-scale,110.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
CADBURY NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,92151022.42029412,13178407.294341644,AM100-scale,112.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
AIICO INSURANCE NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,72895351.89717647,8665201.333245406,AM100-scale,105.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
TELECOM EGYPT (EGYPT),0.6435643564356436,2016-01-06,2026-12-03,12,61,71476272.60333332,24820976.171564844,AM100-scale,114.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
