Date,Country,Weight
2017-08-31,SOUTH AFRICA,0.3999999999999999
2017-08-31,TANZANIA,0.10777847156083066
2017-08-31,UGANDA,0.001653103628406212
2017-09-30,EGYPT,0.028070924336576313
2017-09-30,KENYA,0.06099988553814475
2017-09-30,MALAWI,0.00228700198009712
2017-09-30,MAURITIUS,0.0019079383167873937
2017-09-30,MOROCCO,0.002418173369755166
2017-09-30,NAMIBIA,0.0031117383199675314
2017-09-30,NIGER,0.001017165910387334
2017-09-30,NIGERIA,0.25371162748450254
2017-09-30,RWANDA,0.003899502390221239
2017-09-30,SENEGAL,0.027444039240085982
2017-09-30,SOUTH AFRICA,0.4
2017-09-30,TANZANIA,0.2131114409574597
2017-09-30,UGANDA,0.002020562156014979
2017-10-31,EGYPT,0.05157670428596604
2017-10-31,KENYA,0.031079078659909214
2017-10-31,MALAWI,0.0024110132998148813
2017-10-31,MAURITIUS,0.0018731038771339632
2017-10-31,MOROCCO,0.00234297757406791
2017-10-31,NAMIBIA,0.003978192558169203
2017-10-31,NIGER,0.0012224381287952602
2017-10-31,NIGERIA,0.2552473773238816
2017-10-31,RWANDA,0.0013097702749237273
2017-10-31,SENEGAL,0.022575206685069443
2017-10-31,SOUTH AFRICA,0.4
2017-10-31,TANZANIA,0.22496112195544782
2017-10-31,UGANDA,0.0014230153768211695
2017-11-30,EGYPT,0.043808204759459936
2017-11-30,KENYA,0.04390219538184835
2017-11-30,MALAWI,0.0008472466578853187
2017-11-30,MAURITIUS,0.0008120502037765511
2017-11-30,MOROCCO,0.0021865730605039125
2017-11-30,NAMIBIA,0.004410112067545538
2017-11-30,NIGER,0.006731053840853777
2017-11-30,NIGERIA,0.2557078158640303
2017-11-30,RWANDA,0.0008531923293015737
2017-11-30,SENEGAL,0.02244790702596224
2017-11-30,SOUTH AFRICA,0.39999999999999997
2017-11-30,TANZANIA,0.21748080357205368
2017-11-30,UGANDA,0.0008128452367788656
2017-12-31,EGYPT,0.06461555118194844
2017-12-31,KENYA,0.042102219201481834
2017-12-31,MALAWI,0.0010495867581378478
2017-12-31,MAURITIUS,0.0014049484895530579
2017-12-31,MOROCCO,0.006433957068327785
2017-12-31,NAMIBIA,0.005352936814675441
2017-12-31,NIGER,0.009757360824230588
2017-12-31,NIGERIA,0.3789852237530895
2017-12-31,RWANDA,0.0011296931955002976
2017-12-31,SENEGAL,0.025944725080433044
