Date,Index Level
2019-05-02,1000.0
2019-05-03,1012.6390932033005
2019-05-04,1025.1319635719412
2019-05-06,1023.5798629368921
2019-05-07,1040.8466054476373
2019-05-08,1000.5335455826825
2019-05-09,979.4827105726317
2019-05-10,979.5038625235436
2019-05-11,1048.00086874185
2019-05-12,1000.5977796681482
2019-05-13,1067.1751584254398
2019-05-14,1070.5315512648608
2019-05-15,1071.9358843448374
2019-05-16,1071.2371904048146
2019-05-17,1049.685375644903
2019-05-20,1045.1844665170174
2019-05-21,1039.2152148333191
2019-05-22,1040.1975230176004
2019-05-23,1013.920566879186
2019-05-24,1019.2798704576402
2019-05-27,1012.7107046734154
2019-05-28,984.9447450516199
2019-05-29,1003.1721049878688
2019-05-30,1004.6936291629876
2019-05-31,1026.0953560894084
2019-06-02,1044.108519634502
2019-06-03,1054.6376078867877
2019-06-04,1054.7711277560138
2019-06-05,1071.1178424334908
2019-06-06,1025.2482071060326
2019-06-07,1025.1126292391718
2019-06-08,994.5218072483988
2019-06-09,975.6997551569117
2019-06-10,975.8296062957935
2019-06-11,1044.107977857404
2019-06-12,989.3450924193486
2019-06-13,1063.942577515882
2019-06-14,1062.7920582162794
2019-06-18,1088.5290580662893
2019-06-19,1116.4941923966949
2019-06-20,1128.6576916974252
2019-06-21,1128.3244297196363
2019-06-24,1116.6139203051625
2019-06-25,1116.7065794463922
2019-06-26,1135.8513026272865
2019-06-27,1130.604605191531
2019-06-28,1137.1016220529987
2019-07-01,1101.1622091038935
2019-07-02,1131.3716357309138
2019-07-03,1151.592051186085
2019-07-04,1152.0632158056947
2019-07-05,1178.7384726157532
2019-07-06,1171.2135941277652
2019-07-08,1114.8122708042924
2019-07-09,1114.855623813997
2019-07-10,1105.465568519271
2019-07-11,1164.8213581951156
2019-07-12,1164.5790879264819
2019-07-15,1196.5351220820658
2019-07-16,1203.6949634169034
2019-07-17,1188.4532761368487
2019-07-18,1212.2860659692758
2019-07-19,1209.3762932013838
2019-07-22,1206.848538367724
2019-07-23,1201.3465229531016
2019-07-24,1195.6392124264207
2019-07-25,1167.3084937195176
2019-07-26,1139.7449502504087
2019-07-29,1165.7164901744966
2019-07-30,1153.9007268171458
2019-07-31,1132.6090326848762
2019-08-01,1132.6090326848762
2019-08-02,1143.7320004609855
2019-08-03,1148.9590874052653
2019-08-04,1155.4064031879734
2019-08-05,1145.607559371205
2019-08-06,1141.746804769887
2019-08-07,1142.280790241878
2019-08-08,1133.358732520487
2019-08-09,1132.9475105309173
2019-08-10,1124.9548202043907
2019-08-11,1135.3447165279958
2019-08-12,1135.3560054866807
2019-08-13,1132.6138728959552
2019-08-14,1131.2915983345927
2019-08-15,1131.749604846972
2019-08-16,1130.1204294689355
2019-08-18,1132.8431121772767
2019-08-19,1129.2843254362776
2019-08-20,1133.5929222376944
2019-08-21,1138.5886317332534
2019-08-22,1140.2151572531516
2019-08-23,1147.6134349370136
2019-08-25,1147.7183478164034
2019-08-26,1142.94434203499
2019-08-27,1146.0221190391674
2019-08-28,1151.4067462696898
2019-08-29,1156.6543097087122
2019-08-30,1161.0772865280092
2019-09-01,1173.1267819099066
2019-09-02,1176.4834773033695
2019-09-03,1170.4504828863062
2019-09-04,1176.9168638813094
2019-09-05,1183.146610968536
2019-09-06,1180.4637824057468
2019-09-07,1177.783961060348
2019-09-08,1177.0808201733516
2019-09-09,1170.3005740800431
2019-09-10,1167.2694622245763
2019-09-11,1164.1978373091356
2019-09-12,1180.3215878844035
2019-09-13,1187.1308554052782
2019-09-15,1184.7298850684501
2019-09-16,1186.3652894095803
2019-09-17,1177.7077258628287
2019-09-18,1179.1908025525317
2019-09-19,1177.077698180793
2019-09-20,1176.3979185094886
2019-09-22,1160.2532836319322
2019-09-23,1153.4166628901073
2019-09-24,1137.3969881767903
2019-09-25,1140.917479042504
2019-09-26,1148.4753511789193
2019-09-27,1153.4527824825707
2019-09-29,1164.615613605915
2019-09-30,1172.0614519221745
2019-10-01,1185.0789050096923
2019-10-02,1172.9498807253024
2019-10-03,1157.9473184035412
2019-10-04,1165.2505643569286
2019-10-05,1164.8906105185258
2019-10-06,1169.3232879412428
2019-10-07,1165.9286902060876
2019-10-08,1163.368735456115
2019-10-09,1141.5271338548278
2019-10-10,1149.7296822002922
2019-10-11,1150.4517769389531
2019-10-12,1153.6324138806888
2019-10-13,1151.2152273960007
2019-10-14,1162.4092519652947
2019-10-15,1149.8982753666744
2019-10-16,1159.1665309346413
2019-10-17,1166.6702494793597
2019-10-18,1168.1083563693803
2019-10-20,1167.4925509142802
2019-10-21,1166.8842531978985
2019-10-22,1177.428104993292
2019-10-23,1171.3960774841628
2019-10-24,1174.5418512517479
2019-10-25,1173.2344592648205
2019-10-27,1174.8589831004529
2019-10-28,1178.8797868700988
2019-10-29,1179.0398420538922
2019-10-30,1177.172957869738
2019-10-31,1179.3053673882007
2019-11-01,1179.3053673882007
2019-11-02,1176.8780924659004
2019-11-03,1183.7911399993386
2019-11-04,1199.2457528778004
2019-11-05,1202.1664482780216
2019-11-06,1213.0260160153234
2019-11-07,1212.5359694935494
2019-11-08,1214.8379114326997
2019-11-09,1198.7984619817237
2019-11-10,1202.605948085626
2019-11-11,1201.7843363902246
2019-11-12,1195.1629097023183
2019-11-13,1203.3522382579185
2019-11-14,1211.3221198840529
2019-11-15,1209.3328100420172
2019-11-17,1208.4474611518526
2019-11-18,1203.1250241240728
2019-11-19,1207.0802214368514
2019-11-20,1206.9135308967052
2019-11-21,1201.3533311622402
2019-11-22,1196.5950693252003
2019-11-24,1195.537407763902
2019-11-25,1191.1034861937005
2019-11-26,1172.4861494258425
2019-11-27,1174.0856206878511
2019-11-28,1173.6132872089488
2019-11-29,1173.8852212916431
2019-12-01,1172.0552170198935
2019-12-02,1173.176659138123
2019-12-03,1172.3802930297352
2019-12-04,1183.1803261492978
2019-12-05,1180.8595881575882
2019-12-06,1188.7330862671372
2019-12-07,1181.9968340811733
2019-12-08,1168.3106477010726
2019-12-09,1162.4506383247258
2019-12-10,1158.9934817184235
2019-12-11,1165.8011404562612
2019-12-12,1164.298241895618
2019-12-13,1163.2641905646894
2019-12-15,1164.9251585501195
2019-12-16,1164.7187325215884
2019-12-17,1183.3295666504305
2019-12-18,1186.888685430552
2019-12-19,1194.6681196949626
2019-12-20,1185.6788124075304
2019-12-22,1186.696250447494
2019-12-23,1187.84752978532
2019-12-24,1143.2894350276617
2019-12-25,1144.1422409708985
2019-12-26,1142.4941308804496
2019-12-27,1148.9198325610892
2019-12-29,1147.333746841133
2019-12-30,1192.8745728003241
2019-12-31,1158.6302775112083
2020-01-02,1156.2887541488603
2020-01-03,1163.884145426458
2020-01-04,1118.6223805619154
2020-01-05,1104.850727635267
2020-01-06,1124.2782131318056
2020-01-07,1139.5425412218037
2020-01-08,1150.3989381960503
2020-01-09,1166.8175235677195
2020-01-10,1162.6310262121533
2020-01-12,1186.893931612624
2020-01-13,1199.2829354004746
2020-01-14,1202.6576146270618
2020-01-15,1201.7175694359225
2020-01-16,1207.5810815821626
2020-01-17,1210.1325887715632
2020-01-19,1211.0800564224894
2020-01-20,1205.0356674238715
2020-01-21,1196.99250886642
2020-01-22,1204.6608715109642
2020-01-23,1199.5395712909888
2020-01-24,1201.1919253236567
2020-01-26,1200.2779346586024
2020-01-27,1188.5706211914626
2020-01-28,1194.3587174851189
2020-01-29,1228.0596688873047
2020-01-30,1251.8717359725863
2020-01-31,1304.252604478807
2020-02-01,1304.252604478807
2020-02-03,1228.4663279424199
2020-02-04,1191.1146037562185
2020-02-05,1192.9512653112188
2020-02-06,1234.7430004729522
2020-02-07,1279.3618168136072
2020-02-09,1283.0098330785702
2020-02-10,1282.0047764320973
2020-02-11,1301.4975446100184
2020-02-12,1346.083561210283
2020-02-13,1426.432621955151
2020-02-14,1502.8807898305386
2020-02-16,1500.1715815569892
2020-02-17,1500.9246793470709
2020-02-18,1482.8276194544328
2020-02-19,1468.5685938881613
2020-02-20,1439.0568072878057
2020-02-21,1448.1781659252215
2020-02-23,1447.698787146662
2020-02-24,1416.41448574684
2020-02-25,1402.8929159274865
2020-02-26,1386.5610531936934
2020-02-27,1356.646869891682
2020-02-28,1308.1713406718177
2020-03-01,1335.0147913609064
2020-03-02,1322.8161370809787
2020-03-03,1293.5158721189052
2020-03-04,1231.573399594505
2020-03-05,1229.1342287522762
2020-03-06,1270.8484731895
2020-03-07,1270.9244324055771
2020-03-08,1256.3356010574485
2020-03-09,1227.9982074800766
2020-03-10,1253.5137940695427
2020-03-11,1283.0610699050474
2020-03-12,1294.5835590219915
2020-03-13,1276.9955760105931
2020-03-15,1253.488822756521
2020-03-16,1146.3604869372552
2020-03-17,1124.031010203471
2020-03-18,1010.9159615646087
2020-03-19,1010.2064846398684
2020-03-20,1041.3654294719793
2020-03-22,1055.561368746265
2020-03-23,1057.4323069846423
2020-03-24,1076.2015422293832
2020-03-25,1091.5154215562306
2020-03-26,1093.4843301907379
2020-03-27,1074.7163824680413
2020-03-29,1073.4239430216967
2020-03-30,1054.1258242605413
2020-03-31,1061.8976667538775
2020-04-01,1054.4869586159311
2020-04-02,1092.3236454148227
2020-04-03,1071.446140144611
2020-04-05,1039.1176106463722
2020-04-06,1061.550185872598
2020-04-07,1084.915848127647
2020-04-08,1102.9273303378445
2020-04-09,1112.4622630236388
2020-04-10,1114.1032860609464
2020-04-11,1118.3755934079943
2020-04-12,1143.1056644130626
2020-04-13,1146.600371813887
2020-04-14,1124.6727276305066
2020-04-15,1104.6851641142648
2020-04-16,1092.3164948452072
2020-04-17,1096.4543081491815
2020-04-20,1091.2964103191337
2020-04-21,1064.775659784023
2020-04-22,1070.6679394473776
2020-04-23,1084.3337429795001
2020-04-24,1086.0624296277267
2020-04-26,1091.6517633134683
